[Heroes Archive] (Data_41_muspell01)


Heroes Message Name: Message


MID_MISSION_M201712A_TITLE: １２月任務Ａ
MSID_守備の指揮3: 防守指揮３
MSID_ムスペルの炎: 穆斯貝爾之炎
MSID_H_アーマーキラー2: 克制重裝
MSID_H_アーマーキラー2＋: 克制重裝
MSID_H_貫きの槍2: 克制重裝
MSID_H_貫きの槍2＋: 克制重裝
MSID_H_ハンマー2: 克制重裝
MSID_H_ハンマー2＋: 克制重裝
MSID_H_遠距離防御の弓: 克制飛行　受到武器為弓、暗器、魔法、杖的敵人攻擊時，\n戰鬥中的防守及魔防＋６
MSID_H_遠距離防御の弓＋: 克制飛行　受到武器為弓、暗器、魔法、杖的敵人攻擊時，\n戰鬥中的防守及魔防＋６
MSID_H_ラウアウルフ2: 克制騎馬
MSID_H_ラウアウルフ2＋: 克制騎馬
MSID_H_ブラーウルフ2: 克制騎馬
MSID_H_ブラーウルフ2＋: 克制騎馬
MSID_H_グルンウルフ2: 克制騎馬
MSID_H_グルンウルフ2＋: 克制騎馬
MSID_H_アブゾーブ＋: 回復給予敵人傷害的５０％\n若在戰鬥時進行攻擊，戰鬥後\n回復自己周圍２格內的我方７ＨＰ
MSID_H_フィアー＋: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人攻擊－７\n（直到敵人下次行動結束）
MSID_H_スロウ＋: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人速度－７\n（直到敵人下次行動結束）
MSID_H_グラビティ＋: 若在戰鬥時進行攻擊，戰鬥後\n將對方與其周圍１格內的敵人\n移動範圍限為最大１格（直到敵人下次行動結束）
MSID_H_ペイン＋: 若在戰鬥時進行攻擊，戰鬥後\n給予對方與其周圍２格內的敵人１０傷害
MSID_H_パニック＋: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人\n強化狀態由＋轉－（直到敵人下次行動結束）
MSID_H_キャンドル＋: 若在戰鬥時進行攻擊，戰鬥後\n賦予對方與其周圍２格內的敵人\n無法反擊的異常狀態（直到敵人下次行動結束）
MSID_H_リブロー＋: 回復攻擊的５０％（最低８ＨＰ）　射程２
MSID_H_リカバー＋: 回復攻擊的５０％＋１０（最低１５ＨＰ）
MSID_H_セインツ＋: 回復指定目標（自己所受傷害＋攻擊的５０％）ＨＰ\n（最低７ＨＰ）\n自己也回復所受傷害的一半ＨＰ
MSID_H_リバース＋: 回復指定目標（攻擊的５０％－１０）ＨＰ（最低７ＨＰ）\n且當目標的ＨＰ低於５０％時，ＨＰ越低，回復量就越多
MSID_H_第5迷宮の覇者1: 攻擊＋１
MSID_H_第5迷宮の覇者2: 攻擊＋２
MSID_H_第5迷宮の覇者3: 攻擊＋３
MSID_H_ソールカティ改: 若自身ＨＰ低於７５％，且由自己發動攻擊時，\n若可進行追擊，則會在自己攻擊後立刻進行追擊
MSID_H_ジークムント改: 回合開始時，周圍１格內我方的\n攻擊＋４（１回合）
MSID_H_風神弓改: 克制飛行　若自身ＨＰ高於５０％，\n可在自己能移動的地形如在平地般移動。
MSID_H_死神の暗器改: 若在戰鬥時進行攻擊，戰鬥後\n給予對方與其周圍２格內的敵人１０傷害\n且防守及魔防－７（直到敵人下次行動結束）
MSID_H_銀の暗器＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人防守及魔防－７\n（直到敵人下次行動結束）
MSID_H_紫煙の暗器＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人\n攻擊、速度、防守、魔防－６（直到敵人下次行動結束）
MSID_H_盗賊の暗器＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人防守及魔防－６\n（直到敵人下次行動結束）\n且自己與周圍２格內我方的防守及魔防＋６（１回合）
MSID_H_灼熱のブレス＋改: 敵人攻擊射程為２格時，\n以其防守及魔防中較低方計算傷害
MSID_H_光のブレス＋改: 若在戰鬥時進行攻擊，戰鬥後\n自己與周圍２格內我方\n攻擊、速度、防守、魔防＋５（１回合）\n敵人攻擊射程為２格時，以其防守及魔防中較低方計算傷害
MSID_H_闇のブレス＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人攻擊及速度－７\n（直到敵人下次行動結束）\n敵人攻擊射程為２格時，以其防守及魔防中較低方計算傷害
MSID_H_雷のブレス＋改: 不容易發動奧義（發動計量＋１）\n受到敵人攻擊時，可無視距離進行反擊\n敵人攻擊射程為２格時，以其防守及魔防中較低方計算傷害
MSID_H_ローローの斧＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人\n強化狀態由＋轉－（直到敵人下次行動結束）
MSID_H_クライネの弓＋改: 克制飛行\n若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人攻擊及速度－５\n（直到敵人下次行動結束）\n
MSID_H_ベルクトの槍＋改: 受到敵人攻擊時，魔防＋７
MSID_H_ニンジンの槍＋改: 若在戰鬥時進行攻擊，戰鬥後回復４ＨＰ
MSID_H_ニンジンの斧＋改: 若在戰鬥時進行攻擊，戰鬥後回復４ＨＰ
MSID_H_青の卵＋改: 若在戰鬥時進行攻擊，戰鬥後回復４ＨＰ
MSID_H_緑の卵＋改: 若在戰鬥時進行攻擊，戰鬥後回復４ＨＰ
MSID_H_ファーストバイト＋改: 若在戰鬥時進行攻擊，戰鬥後\n自己與周圍２格內我方\n防守及魔防＋５（１回合）
MSID_H_キューピッドの矢＋改: 克制飛行\n若在戰鬥時進行攻擊，戰鬥後\n自己與周圍２格內我方\n防守及魔防＋５（１回合）
MSID_H_聖なるブーケ＋改: 若在戰鬥時進行攻擊，戰鬥後\n自己與周圍２格內我方\n防守及魔防＋５（１回合）
MSID_H_貝殻＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人防守及魔防－７\n（直到敵人下次行動結束）\n若戰鬥開始時，自身ＨＰ為１００％，攻擊速度防守魔防＋２\n以此狀態攻擊時，戰鬥後自己受到２傷害
MSID_H_扇子＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人防守及魔防－７\n（直到敵人下次行動結束）\n由自己發動攻擊時，戰鬥後\n回復自己周圍１格內的我方７ＨＰ
MSID_H_骨の弓＋改: 克制飛行\n若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人\n強化狀態由＋轉－（直到敵人下次行動結束）
MSID_H_ゴーストの魔道書＋改: 若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人\n強化狀態由＋轉－（直到敵人下次行動結束）
MSID_H_差し違えR75: 若自身ＨＰ低於７５％，且由自己發動攻擊時，\n若敵人可反擊，則必定可進行追擊
MSID_H_追撃攻R90: 若自身ＨＰ高於９０％，且由自己發動攻擊時，\n必定可進行追擊
MSID_H_追従R50: 若自身ＨＰ高於５０％，\n可移動至周圍２格內之我方的相鄰格子
MSID_H_奥義ダメージR10: 發動奧義時，奧義造成的傷害＋１０
MSID_H_反撃抑制R魔: 敵人為魔法兵種時，敵人無法反擊
MSID_H_強化無効R重装: 敵人為重裝兵種時，戰鬥中抵銷敵人的＋強化狀態\n（抵銷範圍為鼓舞及支援等帶來的＋效果）
MSID_H_強化無効R騎馬: 敵人為騎馬兵種時，戰鬥中抵銷敵人的＋強化狀態\n（抵銷範圍為鼓舞及支援等帶來的＋效果）
MSID_H_レーヴァテイン: 攻擊＋３\n將自己身上的強化狀態合計值計入攻擊
MSID_H_レイプト: 受到敵人攻擊時，可無視距離進行反擊
MSID_H_シンモラ: 防守＋３\n回合開始時，給予周圍２格內的敵人２０傷害
MSID_H_セック: 杖的傷害計算公式和其他武器相同　回合開始時，將位於\n十字方向上，ＨＰ低於自身３以上的弓、暗器、魔法、杖兵種\n的敵人移動範圍限為最大１格（直到敵人下次行動結束）
MSID_H_氷の聖鏡: 受到敵人的２格距離攻擊時，降低傷害３０％　因為發動奧義\n而減輕的傷害值將附加至自身下次攻擊（僅在本次戰鬥中。\n因技能產生的減輕效果也包括在減輕的傷害值中）\n（無法繼承）
MSID_H_攻撃守備の絆1: 和我方相鄰時，\n自己在戰鬥中的攻擊及防守＋３
MSID_H_攻撃守備の絆2: 和我方相鄰時，\n自己在戰鬥中的攻擊及防守＋４
MSID_H_攻撃守備の絆3: 和我方相鄰時，\n自己在戰鬥中的攻擊及防守＋５
MSID_H_火薙ぎの剣: 自己跟敵人皆無法反擊
MSID_H_火薙ぎの剣＋: 自己跟敵人皆無法反擊
MSID_H_黒き血の大剣: 由自己發動攻擊時，戰鬥中的攻擊及速度＋４
MSID_H_白き血の薙刀: 受到敵人攻擊時，戰鬥中的攻擊及防守＋４
MSID_H_攻撃守備の応援: 指定目標的攻擊及防守＋３（１回合）
MSID_H_攻撃の指揮1: 回合開始時，自己周圍２格內我方的攻擊＋２（１回合）\n不過，僅限目前我方部隊內\n僅有２個以下相同移動手段的單位。
MSID_H_攻撃の指揮2: 回合開始時，自己周圍２格內我方的攻擊＋４（１回合）\n不過，僅限目前我方部隊內\n僅有２個以下相同移動手段的單位。
MSID_H_攻撃の指揮3: 回合開始時，自己周圍２格內我方的攻擊＋６（１回合）\n不過，僅限目前我方部隊內\n僅有２個以下相同移動手段的單位。
MSID_H_守備の指揮1: 回合開始時，自己周圍２格內我方的防守＋２（１回合）\n不過，僅限目前我方部隊內\n僅有２個以下相同移動手段的單位。
MSID_H_守備の指揮2: 回合開始時，自己周圍２格內我方的防守＋４（１回合）\n不過，僅限目前我方部隊內\n僅有２個以下相同移動手段的單位。
MSID_H_守備の指揮3: 回合開始時，自己周圍２格內我方的防守＋６（１回合）\n不過，僅限目前我方部隊內\n僅有２個以下相同移動手段的單位。
MSID_H_ムスペルの炎: 將自身所受到的傷害變成０。
MID_CHAPTER_TITLE_C0016: 幕間之章
MID_CHAPTER_C0016: 刃之儀式
MID_STAGE_TITLE_S1601: 幕間之章—第１節
MID_STAGE_S1601: 刃之儀式
MID_CHAPTER_TITLE_C0201: 第２部　第１章
MID_CHAPTER_C0201: 炎
MID_STAGE_TITLE_S2011: 第１章—第１節
MID_STAGE_TITLE_S2012: 第１章—第２節
MID_STAGE_TITLE_S2013: 第１章—第３節
MID_STAGE_TITLE_S2014: 第１章—第４節
MID_STAGE_TITLE_S2015: 第１章—第５節
MID_STAGE_S2011: 那火焰，不死不滅
MID_STAGE_S2012: 山燃樹倒
MID_STAGE_S2013: 水枯海竭
MID_STAGE_S2014: 天焦月落
MID_STAGE_S2015: 霧之妖婦
MID_CHAPTER_TITLE_C0202: 第２部　第２章
MID_CHAPTER_C0202: 冰之公主
MID_STAGE_TITLE_S2021: 第２章—第１節
MID_STAGE_TITLE_S2022: 第２章—第２節
MID_STAGE_TITLE_S2023: 第２章—第３節
MID_STAGE_TITLE_S2024: 第２章—第４節
MID_STAGE_TITLE_S2025: 第２章—第５節
MID_STAGE_S2021: 雪之女
MID_STAGE_S2022: 白夜的孩子們
MID_STAGE_S2023: 黑夜的孩子們
MID_STAGE_S2024: 黑白的孩子們
MID_STAGE_S2025: 炎之王
MID_STAGE_TITLE_SB_0005: 第５迷宮
MID_CHAPTER_ST_C0201: 第１～２章
MID_STAGE_TITLE_ST_S0201: 第１章
MID_STAGE_TITLE_ST_S0202: 第２章
MID_STAGE_TITLE_ST_S1202: 第１～２章
MID_STAGE_HONOR_T0021: 塔娜　＆
MID_STAGE_T0021: 亞美利雅
MID_STAGE_HONOR_V0141: 鐵臂艾爾菲
MID_STAGE_V0141: Shingoroid
MID_STAGE_HONOR_V0142: 漆黑與三色美人
MID_STAGE_V0142: Taroimo
MID_STAGE_HONOR_V0143: 最美的四人
MID_STAGE_V0143: Rokumoji
MID_STAGE_HONOR_V0144: 輕飄飄日常系
MID_STAGE_V0144: Arayang
MID_STAGE_HONOR_V0145: 鐵壁之進軍
MID_STAGE_V0145: ryo
