[Heroes Archive] (Menu_00_first)


Heroes Message Name: Message


MID_EXTRA_HEROISM_LIST: 英雄値一覧
MID_UNIT_EDIT_RELIANCE_PLAYER_CONFIRM: $a絆の契りを結ぶと\n相手の能力値がアップします。\n$a0とあなたの特別な支援、\n絆の契りを結びますか？
MID_UNIT_EDIT_RELIANCE_PLAYER_WARNING: 絆の契りを結べる相手は一人だけです。\n相手を変更すると、\n今までの相手との絆レベルは\nリセットされます。
MID_UNIT_EDIT_RELIANCE_PLAYER_DECIDE: 絆の契りを変更する
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP: 相手を一人だけ選択して召喚師との特別な絆が結べます。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_C: 二人は互いの戦いをたたえ合っているようだ。\n近くで戦う時、能力がアップするようになった。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_C_WITH_USER: 二人は互いの戦いをたたえ合っているようだ。\n仲間の能力がアップした。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_B: 二人は共に特訓をして絆を深めているようだ。\n近くで戦う時、能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_B_WITH_USER: 二人は共に特訓をして絆を深めているようだ。\n仲間の能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A1: 二人は互いのことを語り合っているようだ。\n近くで戦う時、能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A1_WITH_USER: 二人は互いのことを語り合っているようだ。\n仲間の能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A2: 二人は夢を語り合っているようだ。\n近くで戦う時、能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A2_WITH_USER: 二人は夢を語り合っているようだ。\n仲間の能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_S: 二人は固い絆で結ばれた！\n近くで戦う時、能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_S_WITH_USER: 二人は固い絆で結ばれた！\n仲間の能力がさらにアップ。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_00: 仲間同士の絆を結ぼう！
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_01: ◆支援◆\n仲間同士が結べる絆です。\n\nお互いに支援を結んでいる相手が\n近くにいると、戦闘で有利になります。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_02: ◆支援を結ぶ◆\n二人の仲間を選ぶことで、\n支援を結ぶことができます。\n\nはじめは、\n支援レベルＣからスタートします。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_03: ◆支援レベルアップ◆\nお互い２マス以内にいる仲間が、\nレベル３５以上の敵と戦闘した時、\n仲間同士は少し仲良くなります。\n\n仲の良さが一定以上になると、\n支援レベルがアップします。\n支援レベルはＣＢＡＳまであります。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_04: ◆支援効果１◆\n支援レベルＣ以上の関係にある二人が\n隣接して戦闘時、能力が上昇します。\n\nＣ　魔防＋２\nＢ　守備魔防＋２\nＡ　速さ守備魔防＋２\nＳ　攻撃速さ守備魔防＋２
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_05: ◆支援効果２◆\n支援レベルＣ以上の関係にある二人が\n１マス離れて戦闘時、能力が上昇します。\n\nＣ　魔防＋１\nＢ　守備魔防＋１\nＡ　速さ守備魔防＋１\nＳ　攻撃速さ守備魔防＋１
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_06: ◆支援の制限◆\n支援を結べる相手は一人だけです。\n後で支援相手を\n変更することは可能です。\n\nただし、今までの相手との\n支援レベルはリセットされます。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_00: 召喚師と仲間の絆を結ぼう！
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_01: ◆召喚師との絆の契り◆\n召喚師と仲間が\n結べる特別な絆です。\n\n絆の契りを結んでいると、\n仲間の能力がアップします。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_02: ◆絆の契りを結ぶ◆\n仲間を選ぶことで、\n絆の契りを結ぶことができます。\n\nはじめは、\n絆レベルＣからスタートします。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_03: ◆絆レベルアップ◆\nレベル３５以上の敵と戦闘した時、\n召喚師と仲間は\n少し仲良くなります。\n\n仲の良さが一定以上になると、\n絆レベルがアップします。\n絆レベルはＣＢＡＳまであります。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_04: ◆絆効果◆\n絆レベルＣ以上の関係にあると、\n仲間の能力が常にアップします。\n\nＣ　ＨＰ＋３、魔防＋２\nＢ　ＨＰ＋４、守備魔防＋２\nＡ　ＨＰ＋４、速さ守備魔防＋２\nＳ　ＨＰ＋５、攻撃速さ守備魔防＋２
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_05: ◆絆の契りの制限◆\n絆の契りを結べる相手は一人だけです。\n後で絆の契りの相手を\n変更することは可能です。\n\nただし、今までの相手との\n絆レベルはリセットされます。
MID_UNIT_EDIT_RELIANCE_SORT_ATTRIBUTE: 属性
MID_UNIT_EDIT_RELIANCE_SORT_WEAPON: 武器種
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_1: 支援 C 回想
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_2: 支援 B 回想
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_3: 支援 A 回想
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_4: 支援 S 回想
MID_UNIT_EDIT_RELIANCE_SUMMONER_NAME: あなた
MID_ARENA_DIALOG_NO_MEMBER_ERROR_TEXT: 対戦を開始することができません。
MID_ARENA_DIALOG_NO_MEMBER_ERROR_WARNING: 部隊の人数が不足しています。
MID_PRESENT_LIST_CONFIRM_ALL_RECEIVE: 以下のプレゼントを受け取りますか？
MID_MISSION_CONFIRM_ALL_RECEIVE: 以下の報酬を受け取りますか？
MID_ITEM_HELP_PROMOTION_RED1_1108: ・「覚醒」で使用する\n　★３以下の赤属性の仲間の★を１上昇させる\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_PROMOTION_RED2_1108: ・「覚醒」で使用する\n　★４の赤属性の仲間を★５にする\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_PROMOTION_BLUE1_1108: ・「覚醒」で使用する\n　★３以下の青属性の仲間の★を１上昇させる\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_PROMOTION_BLUE2_1108: ・「覚醒」で使用する\n　★４の青属性の仲間を★５にする\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_PROMOTION_GREEN1_1108: ・「覚醒」で使用する\n　★３以下の緑属性の仲間の★を１上昇させる\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_PROMOTION_GREEN2_1108: ・「覚醒」で使用する\n　★４の緑属性の仲間を★５にする\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_PROMOTION_NEUTRAL1_1108: ・「覚醒」で使用する\n　★３以下の無属性の仲間の★を１上昇させる\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_PROMOTION_NEUTRAL2_1108: ・「覚醒」で使用する\n　★４の無属性の仲間を★５にする\n・「聖印生成・覚醒」で使用する
MID_ITEM_HELP_HOLY_COIN_1108: 「聖印生成・覚醒」で使用する\nいにしえの儀式に用いられるという\n貴重なコイン
MID_MISSION_JUMP_UNAVAILABLE: 対象のマップは\n現在プレイすることができません。
MID_MISSION_JUMP_CONFIRM: ミッションに挑戦しに行きますか？
MID_MISSION_JUMP_DECIDE: 挑戦しに行く
MID_STAGE_OPEN_SKILL_ACCESSORY_PROMOTION: 聖印生成・聖印覚醒が\n開放されました。
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_1: ＨＰ＋３、魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_2: ＨＰ＋４、守備魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_3: ＨＰ＋４、速さ守備魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_4: ＨＰ＋５、攻撃速さ守備魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_1: 支援相手と隣接している時、\n戦闘中、魔防＋２\n１マス離れている時、\n戦闘中、魔防＋１
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_2: 支援相手と隣接している時、\n戦闘中、守備魔防＋２\n１マス離れている時、\n戦闘中、守備魔防＋１
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_3: 支援相手と隣接している時、\n戦闘中、速さ守備魔防＋２\n１マス離れている時、\n戦闘中、速さ守備魔防＋１
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_4: 支援相手と隣接している時、\n戦闘中、攻撃速さ守備魔防＋２\n１マス離れている時、\n戦闘中、攻撃速さ守備魔防＋１
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_AND_PROMOTION: 聖印生成・聖印覚醒
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION: 聖印生成
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION: 聖印覚醒
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_HELP: 生成する聖印を選択してください。
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_NO_TARGET: 生成できる聖印がありません。
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_CONFIRM: 以下の聖印を生成しますか？
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATE: 生成する
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATE_SUCCESS: 【聖印】を生成しました。
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_HELP: 覚醒する聖印を選択してください。
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_NO_TARGET: 覚醒できる聖印がありません。
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_CONFIRM: 以下の聖印を覚醒しますか？
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTE: 覚醒する
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_ARROW: →
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTE_SUCCESS: 【聖印】を覚醒しました。
MID_UNIT_EDIT_ACCESSORY_PROMOTION_HELP_DIALOG_00: 聖印を覚醒させ、もっと強く！
MID_UNIT_EDIT_ACCESSORY_PROMOTION_HELP_DIALOG_01: ◆聖印生成◆\n持っていない聖印を\n生み出すことができます。\n\n勲章、大勲章、聖貨を\n消費します。
MID_UNIT_EDIT_ACCESSORY_PROMOTION_HELP_DIALOG_02: ◆聖印覚醒◆\n持っている聖印を覚醒させ、\n１段階強くすることができます。\n\n勲章、大勲章、聖貨を\n消費します。
MID_VOTE_DIALOG_NO_LEADER_ERROR_TEXT: 出陣することができません。
MID_VOTE_DIALOG_NO_LEADER_ERROR_WARNING: 部隊のリーダーを設定してください。
MID_SEQUENTIAL_MAP_TERM_201709_2: 宿命の刻
MID_SEQUENTIAL_MAP_TERM_201710: 光の系譜
MID_SEQUENTIAL_MAP_TERM_201711: 英雄ではなくとも
MID_ARENA_RANK_CALCULATING: 集計中
MID_ARENA_DIALOG_HELP_2_02_701: ◆防衛部隊について◆\n編成で、任意の部隊を\n防衛部隊として設定できます。
MID_SPRINKLES_GIFT_RECEIVED: Google Playギフトカードの特典を入手！\n特典をプレゼントボックスに送りました。
MID_SPRINKLES_GIFT_ALREADY_RECEIVED: 新しく入手できる\nGoogle Playギフトカードの特典は\nありませんでした。\n※特典は入手済みかもしれません。\nプレゼントボックスを確認してください。
MID_SPRINKLES_INVENTORY_MESSAGE: Google Playギフトカード特典
MID_LOAD_OUT_OF_TERM_CONFIRM: 期限切れのため、\n再開できませんでした。\n中断データを削除します。
MID_MISSION_ALL_RECEIVE_COMPLETED: 達成済みの全ての\nミッション報酬を受け取りました。
MID_MISSION_APPEAR_STRATUM_LIST: 以下のミッションに\n新しい難易度が追加されました。
MID_SEQUENTIAL_MAP: 戦渦の連戦
MID_SEQUENTIAL_MAP_CLOSED: 現在開催していません。
MID_SEQUENTIAL_MAP_AGGREGATING: 現在集計中です。
MID_SEQUENTIAL_MAP_REMAINING_DAYS: $a作戦終了まであと$a0日
MID_SEQUENTIAL_MAP_REMAINING_HOURS: $a作戦終了まであと$a0時間
MID_SEQUENTIAL_MAP_REMAINING_MINUTES: $a作戦終了まであと$a0分
MID_SEQUENTIAL_MAP_ENTER_STAGE_SELECT: ステージ選択
MID_SEQUENTIAL_MAP_STAGE_CONSTRAINT: $a$a1連戦：自軍$a0部隊
MID_SEQUENTIAL_MAP_STAGE_SELECT_WARNING: ボーナスキャラを出撃させると\n獲得スコアはさらに上昇します。
MID_SEQUENTIAL_MAP_STAGE_SELECT_POINT_WIN: 最終マップクリア時
MID_SEQUENTIAL_MAP_STAGE_SELECT_POINT_LOSE: 敗北時
MID_SEQUENTIAL_MAP_STAGE_TELOP_STAGE_TITLE: $aステージ$a0
MID_SEQUENTIAL_MAP_STAGE_TELOP_STAGE_NUM: $a($a0/$a1)
MID_SEQUENTIAL_MAP_STAGE_TELOP_TROOP_NUM: $a第$a0部隊 ($a1/$a2)
MID_SEQUENTIAL_MAP_SYSTEM_MENU_STAGE_NUM: $aステージ$a0 ($a1/$a2)
MID_SEQUENTIAL_MAP_SYSTEM_MENU_TROOP_NUM: $a第$a0部隊 ($a1/$a2)
MID_SEQUENTIAL_MAP_STAGE_TELOP_RULE_TITLE: 勝利条件
MID_SEQUENTIAL_MAP_REWARD: 報酬確認
MID_SEQUENTIAL_MAP_REWARD_RANK: 順位
MID_SEQUENTIAL_MAP_OUT_OF_RANGE: 圏外
MID_SEQUENTIAL_MAP_RANK_AGGREGATING: 集計中
MID_SEQUENTIAL_MAP_REWARD_POINT: 累計スコア
MID_SEQUENTIAL_MAP_REWARD_POINT_SHORT: 累計
MID_SEQUENTIAL_MAP_REWARD_SORT: $a報酬の種類：$a0
MID_SEQUENTIAL_MAP_REWARD_SORT_POINT: スコア
MID_SEQUENTIAL_MAP_REWARD_SORT_RANK: 順位
MID_SEQUENTIAL_MAP_REWARD_SORT_DIALOG: 報酬の種類
MID_SEQUENTIAL_MAP_BONUS_CHARACTER: 今回のボーナスキャラ
MID_SEQUENTIAL_MAP_BONUS_CHARACTER_CAPTION_1: このキャラを出撃メンバーに選択すると獲得スコアUP！
MID_SEQUENTIAL_MAP_BONUS_CHARACTER_CAPTION_2: （複数のキャラを選択した場合は、合計せず最大値を適用）
MID_SEQUENTIAL_MAP_BONUS_CHARACTER_RATIO: $a＋$a0％
MID_SEQUENTIAL_MAP_REORGANIZE: 編成
MID_SEQUENTIAL_MAP_REORGANIZE_TROOP_INFO: $a第$a0部隊（$a0/$a1）
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER: 降参
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_CONFIRM: 連続マップへの挑戦を\n諦めて降参しますか？
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_WARNING: 降参した場合、\n今回クリアしたマップ数に応じた\nスコアを獲得できます。
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_DECIDE: 降参する
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_CANCEL: 編成に戻る
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START: 戦闘開始
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START_CONFIRM: 編成した部隊で\n戦闘を開始しますか？
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START_DECIDE: 戦闘開始
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START_CANCEL: 編成に戻る
MID_SEQUENTIAL_MAP_REORGANIZE_VIEW_MAP: マップ確認
MID_SEQUENTIAL_MAP_REORGANIZE_BONUS_CHARACTER: ボーナスキャラ一覧
MID_SEQUENTIAL_MAP_RESULT: 今回の結果
MID_SEQUENTIAL_MAP_RESULT_BASIC_POINT: 基本スコア
MID_SEQUENTIAL_MAP_RESULT_CLEARED_MAP: 突破マップ
MID_SEQUENTIAL_MAP_RESULT_ALIVE_EVALUATION: 生存評価
MID_SEQUENTIAL_MAP_RESULT_SPEED_EVALUATION: 速度評価
MID_SEQUENTIAL_MAP_RESULT_BONUS_CHARACTER: ボーナスキャラ
MID_SEQUENTIAL_MAP_RESULT_ADDED_POINT: 今回のスコア
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_A: A
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_B: B
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_C: C
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_D: D
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_E: E
MID_SEQUENTIAL_MAP_RESULT_RATE: $a×$a0
MID_SEQUENTIAL_MAP_RESULT_RATE_NONE: -
MID_SEQUENTIAL_MAP_RESULT_CLEARED_MAP_NUM: $a$a0/$a1
MID_SEQUENTIAL_MAP_RESULT_DETAIL: $a($a0)
MID_SEQUENTIAL_MAP_DIALOG_END_OF_TERM: シーズン終了時間を過ぎたため、\n結果が反映されませんでした。
MID_SEQUENTIAL_MAP_TERM_EXPIRED: 今回のシーズンの開催期間は\n終了しました。
MID_SEQUENTIAL_MAP_TERM_201706: 覚醒覆う暗雲
MID_SEQUENTIAL_MAP_HELP_DIALOG_00: 複数の自軍部隊で、連戦を戦い抜け！
MID_SEQUENTIAL_MAP_HELP_DIALOG_01: ◆戦渦の連戦◆\n一つのマップをクリアすると、即座に\n次のマップが出現する連戦マップです。\n自軍のＨＰはそのままで、\n次の戦いを行う必要があります。\n\n既定のマップ数を\nすべてクリアすることが目的です。
MID_SEQUENTIAL_MAP_HELP_DIALOG_02: ◆全滅したら、次の部隊が出撃◆\n最初に選んだメンバーが全滅すると、\n全滅したメンバー以外から、\n新たなメンバーを選び、\nそのマップに再挑戦します。\n\n規定の回数全滅すると、\nゲームオーバーになります。
MID_SEQUENTIAL_MAP_HELP_DIALOG_03: ◆スコア◆\n連戦マップでの活躍によって、\nスコアが入手できます。\n\nイベント期間中の\n累計スコアに応じて、\n報酬が入手できます。
MID_SEQUENTIAL_MAP_HELP_DIALOG_04: ◆今シーズンのボーナスキャラ◆\nボーナスキャラを\n出撃メンバーに入れると、\n獲得できるスコアがUPします。\n\n複数のボーナスキャラを\n入れていた場合は、\n合計せず、最大値を適用します。
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_00: ◆報酬確認◆\n今回の報酬を確認できます。\n\nフィルタを切り替えると\n「スコア」、\n「順位」を確認できます。
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_01: ◆スコア◆\n今回のイベントの\n累計スコア報酬の一覧です。\n\n
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_02: ◆順位◆\nランキング報酬の一覧です。\n上位500,000位以内が\nランキングされます。\n\n集計開始から順位の反映までに\n時間がかかることがあります。
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_03: ◆報酬受け取り◆\n累計スコア報酬は、\n累計スコア達成時に受け取れます。\n\nランキング報酬は、\n開催期間が終了した後～\n次の戦渦の連戦が開始するまでの期間に\n戦渦の連戦に入った時、受け取れます。
MID_SEQUENTIAL_MAP_GAINED_REWARDTYPE_RANK: $a戦渦の連戦・順位報酬　$a0位
MID_SEQUENTIAL_MAP_GAINED_REWARDTYPE_RANK_OUT_OF_RANGE: 戦渦の連戦・順位報酬　圏外
MID_SEQUENTIAL_MAP_GAINED_REWARDTYPE_POINT: $a戦渦の連戦・累計スコア報酬　$a0
MID_STAGE_TITLE_DIFFICULTY3: インファナル
MID_UNIT_EDIT_TROOP_INDEX: $a部隊$a0
MID_UNIT_EDIT_TROOP_NAME_EDIT: 部隊名を編集
MID_UNIT_EDIT_TROOP_NAME_PLACE_HOLDER: 部隊名を入力
MID_UNIT_EDIT_TROOP_NAME_ASK: 部隊名を入力してください。
MID_UNIT_EDIT_TROOP_NAME_ASK_INFO: 名前は１２文字以内です。\n一部の記号は使用できません。
MID_UNIT_EDIT_TROOP_SET_DEFENSE: 防衛部隊に設定
MID_UNIT_EDIT_TROOP_NAME_EMPTY: －－－－－－－－－－－－
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_04_701: ◆部隊名を編集◆\n部隊名を編集することができます。\n\n◆防衛部隊に設定◆\n闘技場で防衛部隊として登場する\n部隊を設定します。\n防衛部隊には盾のマークがつきます。
