[Heroes Archive] (Menu_63_dream01)


Heroes Message Name: Message


MID_ITEM_HOLY_GRAIL: 英雄の聖杯
MID_SKYCASTLE_BATTLE_RANKING_HELP_DIALOG_00: ◆順位◆\n現在の順位です。\n集計開始から順位の反映までに\n時間がかかることがあります。
MID_SKYCASTLE_BATTLE_RANKING_HELP_DIALOG_01: ◆自分の順位、上位◆\n今シーズンの集計圏内にいる\nプレイヤーのランキングです。\n\n◆フレンド◆\n自分のフレンドのランキングです。\n今シーズンの集計だけでなく、\n過去シーズンの成績も含めます。
MID_SKYCASTLE_TUTORIAL_DIALOG_01: 「飛空城の編集」を選び、\n対戦の準備をしましょう。
MID_SKYCASTLE_TUTORIAL_DIALOG_03: 【攻撃マップ】は対戦で使用。\n敵の飛空城へ攻め込もう。
MID_SKYCASTLE_TUTORIAL_DIALOG_03_2: 【防衛マップ】は、防衛戦で使用。\n敵から防衛部隊を守ろう。
MID_SKYCASTLE_TUTORIAL_DIALOG_04: まずは【攻撃設備】を\n攻撃マップに生成しましょう。
MID_SKYCASTLE_TUTORIAL_DIALOG_15: $a飛空石や天空の雫を消費し、\n設備を生成・強化できます。\n\n今回は、\n【$a0】を\n生成してみましょう。
MID_SKYCASTLE_TUTORIAL_DIALOG_05: $a【$a0】を\n生成しよう。
MID_SKYCASTLE_TUTORIAL_DIALOG_06: 攻撃設備が生成されました。
MID_SKYCASTLE_TUTORIAL_DIALOG_06_WARNING: ※すでに生成された設備は、\n「設備設置」メニューから\n　設置・撤去できます。
MID_SKYCASTLE_TUTORIAL_DIALOG_07: 設備は、キャラクターと同じように\n移動させて配置できます。
MID_SKYCASTLE_TUTORIAL_DIALOG_08: 攻撃設備を移動させて、\n配置を変更しよう。
MID_SKYCASTLE_TUTORIAL_DIALOG_09: 配置が変更されました。
MID_SKYCASTLE_TUTORIAL_DIALOG_09_WARNING: ※防衛マップも、\n　同様に配置を変更できます。
MID_SKYCASTLE_TUTORIAL_DIALOG_12: 編集した攻撃マップで、\nライバルの飛空城に対戦を挑もう。
MID_SKYCASTLE_TUTORIAL_DIALOG_10: 飛空城を強化し、攻撃を成功させ、\n報酬でさらに飛空城を強くしよう！
MID_SKYCASTLE_TUTORIAL_DIALOG_13: 【おまかせ配置】で一括編集！\n「編集切替」＞「おまかせ配置」
MID_SKYCASTLE_TUTORIAL_DIALOG_16: 左右の矢印で、\n配置のテーマを選びましょう。
MID_SKYCASTLE_TUTORIAL_DIALOG_17: チュートリアル中は撤去できません。
MID_SKYCASTLE_TUTORIAL_DUMMY_TROOP: 異界の特務機関
MID_SKYCASTLE_TUTORIAL_BATTLE_02_DIALOG_00: 砦以外の設備は、破壊可能！\n【資源】を壊せば、エナジーが回復！
MID_SKYCASTLE_TUTORIAL_BATTLE_01_DIALOG_00: 敵の【防衛設備】に注意！\n設備をタップし、効果を確認。
MID_SCF_ギュミル泉: エナジーの泉
MID_SCF_ギュミル泉_HELP: $a飛空城のエナジーが１日ごとに$a0回復する\n破壊されると、攻撃側のエナジーが回復（攻撃勝利時）\n※この設備は撤去不可。戦闘中は破壊できる
MID_SCF_ギュミル水瓶: エナジーの水瓶
MID_SCF_ギュミル水瓶_HELP: $a飛空城のエナジーを最大$a0まで貯蔵できる\n破壊されると、攻撃側のエナジーが回復（攻撃勝利時）\n※この設備は撤去不可。戦闘中は破壊できる
MID_SCF_防砦: 防衛砦
MID_SCF_防砦_HELP: 敵の攻撃砦よりもレベルが高いとき、\n味方全員の能力をレベル差分だけ上昇させる\n（攻撃、速さ、守備、魔防＋レベル差×４）\n※この設備は撤去不可。戦闘中も破壊できない
MID_SCF_防雷: 防衛・雷の塔
MID_SCF_防雷_HELP: $a３ターン開始時、この設備を中心とした\n縦７×横３マスにいる敵に$a0ダメージ
MID_SCF_防軍師: 防衛・軍師の作戦室
MID_SCF_防軍師_HELP: $aターン開始時、この設備を中心とした\n縦７×横３マスにいるＨＰ$a0以下の\n弓、暗器、魔法、杖の敵の移動を\n最大１マスに制限（敵の次回行動終了時まで）
MID_SCF_防回復: 防衛・回復の塔
MID_SCF_防回復_HELP: $aターン開始時、この設備を中心とした\n縦５×横５マスにいる味方を$a0回復
MID_SCF_防対歩行: 防衛・対歩行訓練所
MID_SCF_防対歩行_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵歩行の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の防衛訓練所を置くことはできない
MID_SCF_防対重装: 防衛・対重装訓練所
MID_SCF_防対重装_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵重装の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の防衛訓練所を置くことはできない
MID_SCF_防対騎馬: 防衛・対騎馬訓練所
MID_SCF_防対騎馬_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵騎馬の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の防衛訓練所を置くことはできない
MID_SCF_防対飛行: 防衛・対飛行訓練所
MID_SCF_防対飛行_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵飛行の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の防衛訓練所を置くことはできない
MID_SCF_防恐慌: 防衛・恐慌の館
MID_SCF_防恐慌_HELP: $aターン開始時、この設備を中心とした\n縦７×横３マスにいるＨＰ$a0以下の敵の強化を\n＋ではなく－とする（敵の次回行動終了まで）
MID_SCF_防投石: 防衛・投石機
MID_SCF_防投石_HELP: ターン開始時、この設備と同じ縦列にある\n敵攻撃設備のうち、同じレベル以下のものを破壊する\n（攻撃砦は破壊されない）
MID_SCF_攻砦: 攻撃砦
MID_SCF_攻砦_HELP: 敵の防衛砦よりもレベルが高いとき、\n味方全員の能力をレベル差分だけ上昇させる\n（攻撃、速さ、守備、魔防＋レベル差×４）\n※この設備は撤去不可。戦闘中も破壊できない
MID_SCF_攻雷: 攻撃・雷の塔
MID_SCF_攻雷_HELP: $a３ターン開始時、この設備を中心とした\n縦３列にいる敵に$a0ダメージ
MID_SCF_攻軍師: 攻撃・軍師の作戦室
MID_SCF_攻軍師_HELP: $aターン開始時、この設備と同じ縦列にいる\nＨＰ$a0以下の弓、暗器、魔法、杖の敵の移動を\n最大１マスに制限（敵の次回行動終了時まで）
MID_SCF_攻回復: 攻撃・回復の塔
MID_SCF_攻回復_HELP: $aターン開始時、この設備を下段とした\n縦３×横５マスにいる味方を$a0回復
MID_SCF_攻対歩行: 攻撃・対歩行訓練所
MID_SCF_攻対歩行_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵歩行の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の攻撃訓練所を置くことはできない
MID_SCF_攻対重装: 攻撃・対重装訓練所
MID_SCF_攻対重装_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵重装の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の攻撃訓練所を置くことはできない
MID_SCF_攻対騎馬: 攻撃・対騎馬訓練所
MID_SCF_攻対騎馬_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵騎馬の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の攻撃訓練所を置くことはできない
MID_SCF_攻対飛行: 攻撃・対飛行訓練所
MID_SCF_攻対飛行_HELP: $aターン開始時、この設備を中心とした縦３列にいる\n敵飛行の攻撃、速さ、守備、魔防－$a0\n（敵の次回行動終了まで）\n同時に複数の攻撃訓練所を置くことはできない
MID_SCF_攻恐慌: 攻撃・恐慌の館
MID_SCF_攻恐慌_HELP: $aターン開始時、この設備を中心とした縦３列にいる\nＨＰ$a0以下の敵の強化を\n＋ではなく－とする（敵の次回行動終了まで）
MID_SCF_攻投石: 攻撃・投石機
MID_SCF_攻投石_HELP: ターン開始時、この設備と同じ縦列にある\n敵防衛設備のうち、同じレベル以下のものを破壊する\n（防衛砦、罠、資源、装飾は破壊されない）
MID_SCF_落雷の罠A: 落雷の罠
MID_SCF_落雷の罠A_BATTLE: 罠
MID_SCF_落雷の罠A_HELP: $a設置したマスで敵が移動終了したとき、\nその敵と周囲３マスにいる敵味方に$a0ダメージ\n（敵の攻撃や補助スキルはキャンセルされる）
MID_SCF_落雷の罠A_BATTLEHELP: 何かが仕掛けられていそうな床
MID_SCF_重圧の罠A: 重圧の罠
MID_SCF_重圧の罠A_BATTLE: 罠
MID_SCF_重圧の罠A_HELP: $a設置したマスで敵が移動終了したとき、\nその敵と周囲２マスにいる\nＨＰ$a0以下の敵味方の移動を最大１マスに制限\n（敵の次回行動終了まで）\n（敵の攻撃や補助スキルはキャンセルされる）
MID_SCF_重圧の罠A_BATTLEHELP: 何かが仕掛けられていそうな床
MID_SCF_落雷の罠ダミー: 偽・落雷の罠
MID_SCF_落雷の罠ダミー_BATTLE: 罠
MID_SCF_落雷の罠ダミー_HELP: 落雷の罠に見せかけた偽物
MID_SCF_落雷の罠ダミー_BATTLEHELP: 何かが仕掛けられていそうな床
MID_SCF_重圧の罠ダミー: 偽・重圧の罠
MID_SCF_重圧の罠ダミー_BATTLE: 罠
MID_SCF_重圧の罠ダミー_HELP: 重圧の罠に見せかけた偽物
MID_SCF_重圧の罠ダミー_BATTLEHELP: 何かが仕掛けられていそうな床
MID_SCF_金の玉座: 黄金の玉座
MID_SCF_金の玉座_HELP: $a飛空城で$a0～$a1位に\n到達した者だけが座ることを許される玉座\n２回以上の到達で、回数が刻印される
MID_SCF_銀の玉座: 白銀の玉座
MID_SCF_銀の玉座_HELP: $a飛空城で$a0～$a1位に\n到達した者だけが座ることを許される玉座\n２回以上の到達で、回数が刻印される
MID_SCF_銅の玉座: 銅の玉座
MID_SCF_銅の玉座_HELP: $a飛空城で$a0～$a1位に\n到達した者だけが座ることを許される玉座\n２回以上の到達で、回数が刻印される
MID_SCF_その他1: フェーの石像
MID_SCF_その他1_HELP: 飛空城キャンペーンのオブジェ\n本人監修のもと、精巧に造られている
MID_SCF_その他2: 歓びの花壇
MID_SCF_その他2_HELP: 飛空城キャンペーンのオブジェ\n色鮮やかな花々がアレンジされている
MID_SCF_その他3: レトロな街灯
MID_SCF_その他3_HELP: 飛空城キャンペーンのオブジェ\n趣のあるレトロなデザイン
MID_SCF_K0001: 泉の城
MID_SCF_K0001_Ex: 特徴：池
MID_SCF_K0002: 氷雪の城
MID_SCF_K0002_Ex: 特徴：林
MID_SCF_K0003: 廃墟の城
MID_SCF_K0003_Ex: 特徴：壊れる壁
MID_SCF_K0004: 雪化粧の城
MID_SCF_K0004_Ex: 特徴：防御地形＋溝
MID_SCF_K0005: 砂漠の城
MID_SCF_K0005_Ex: 特徴：山
MID_SCF_K0006: 春風の城
MID_SCF_K0006_Ex: 特徴：壁
MID_SCF_K0007: 木漏れ日の城
MID_SCF_K0007_Ex: 特徴：林、溝
MID_SCF_K0008: 忘れられた城
MID_SCF_K0008_Ex: 特徴：防御地形、林
MID_SCF_K0009: 夏草の城
MID_SCF_K0009_Ex: 特徴：林
MID_SCF_K0010: 炎熱の城
MID_SCF_K0010_Ex: 特徴：溶岩
MID_ITEM_SKYCASTLE_201811: 記念の飛空石
MID_ITEM_HELP_SKYCASTLE_201811: 「飛空城」で使用する\n期間限定の設備を生成する\n期間を過ぎると、すべて消滅する。
MID_STAGE_SKYCASTLE: 飛空城
MID_STAGE_SKYCASTLE_TESTPLAY: 飛空城　模擬戦
MID_STAGE_SKYCASTLE_TUTORIAL: 飛空城　チュートリアル
MID_STAGE_SELECT_BLESSING_GARDEN_INFO_2: 祝福付与された英雄や、伝承英雄で戦います。
MID_STAGE_SELECT_SEQUENTIAL_MAP: 連戦マップ
MID_STAGE_SELECT_SEQUENTIAL_MAP_INFO: 連続して戦うマップです。
MID_TAP_BATTLE_DATA_TITLE_0010: 絶望の迷宮
MID_MUSIC_NAME_BGM_MAP_FE13_07: 使命～炎
MID_MUSIC_NAME_BGM_MAP_FE08_01: 真実　絶望　そして希望
MID_MUSIC_NAME_BGM_MAP_FE13_11: 暗雲～炎
MID_UNIT_EDIT_SKYCASTLE_OFFENSE: 飛空城　攻撃部隊編成
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_00: ◆飛空城　攻撃部隊編成◆\n飛空城専用の\n攻撃部隊を編成します。
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_01: ◆最大獲得レート◆\n飛空城の対戦で、\n攻撃部隊が勝利したときに\n得られるレートの最大値です。
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_02: ◆攻撃部隊枠を増やす◆\n飛空城の位階が上がると、\n５人目の攻撃部隊枠を\n追加できるようになります。\n※追加枠は、初めての解放の際に\n　飛空石が必要です。
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_03: ◆攻撃部隊枠の位階条件◆\n・５人目の追加：位階１１以上
MID_UNIT_EDIT_SKYCASTLE_DEFENSE: 防衛部隊編成
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP: 防衛部隊を編成してください。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_BTN_00: $a位階$a0\nで解放
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_BTN_01: 部隊枠\nを追加
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_CONFIRM: $a飛空石×$a0を消費して\n部隊枠を追加しますか？
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_WARNING: $a位階$a0以下になると、\n追加した英雄は出撃しません。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_BTN_DECIDE: 追加する
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_COMPLETE: 部隊枠を追加しました。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_FAILURE: 飛空石が不足しています。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_ESTIMATED_RATE: 防衛失敗レート
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_ESTIMATED_RATE_HELP: 現在の防衛メンバーで\n防衛に失敗したときの最大下降レート
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_0: 部隊のロック
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_1: ロック解除
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_0: 部隊をロックしますか？\n\nロックすると、部隊全員のレベル、\n能力、スキル、聖印、祝福が\n現在の状態で固定されます。\n（飛空城防衛戦でのみ有効）
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_1: 部隊のロックを解除しますか？\n\n解除すると、部隊全員の\n最新のステータスが反映されます。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_DECIDE_0: ロックする
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_DECIDE_1: 解除する
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_CANCEL: 戻る
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_NO_UNIT_TEXT: 防衛部隊が設定されていません。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_NO_UNIT_WARNING: 防衛部隊が０人のときは、\n代理として、レベル４０の\nアルフォンス、シャロン、アンナが\n防衛します。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_00: ◆防衛部隊編成◆\n防衛マップに配置する\n部隊を編成します。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_01: ◆防衛部隊のロック◆\n部隊全員のレベル、能力、スキル、\n聖印、祝福が変更されないよう\n固定することができます。\n（飛空城の防衛戦でのみ有効）\n※ロックを解除すると、\n　最新の状態が反映されます。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_02: ◆防衛部隊枠を増やす◆\n飛空城の位階が上がると、\n５人目、６人目の防衛部隊枠を\n追加できるようになります。\n※追加枠は、初めての解放の際に\n　飛空石が必要です。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_03: ◆防衛部隊枠の位階条件◆\n・５人目の追加：位階１１以上\n・６人目の追加：位階１９以上\n※位階条件を満たさないと、\n　追加枠の英雄は出撃しません。\n　再度、位階を上げると復活します。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_04: ◆防衛部隊が０人の場合◆\n代理として、レベル４０の\nアルフォンス、シャロン、アンナが\n防衛します。
MID_UNIT_EDIT_HOLY_GRAIL: 聖杯で英雄を召喚
MID_UNIT_EDIT_HOLY_GRAIL_HELP1: 召喚するキャラクターを選択してください。
MID_UNIT_EDIT_HOLY_GRAIL_REMAIN_COUNT: 召喚可能数
MID_UNIT_EDIT_HOLY_GRAIL_CONFIRM: 英雄の聖杯を消費して\n召喚を行いますか？
MID_UNIT_EDIT_HOLY_GRAIL_DECIDE: 召喚する
MID_UNIT_EDIT_HOLY_GRAIL_WARNING: 英雄の聖杯が不足しているため\n召喚することができません。
MID_UNIT_EDIT_UNIT_FULL_INFOR: キャラクターの収容人数が\n上限に達しています。
MID_UNIT_EDIT_SORT_HOLY_GRAIL_RECENT: 新着順
MID_UNIT_EDIT_SORT_HOLY_GRAIL_ORDER: 追加順
MID_UNIT_EDIT_HOLY_GRAIL_HELP_DIALOG_00: 聖杯で、特別な英雄を召喚！
MID_UNIT_EDIT_HOLY_GRAIL_HELP_DIALOG_01: ◆英雄の聖杯◆\n英雄の聖杯を消費し、\n一部の英雄を仲間にできます。\n\n英雄の聖杯は、\n飛空城などで入手できます。
MID_UNIT_EDIT_HOLY_GRAIL_HELP_DIALOG_02: ◆その他◆\n同じ英雄は、聖杯では\n最大２０体まで仲間にできます。\n\n同じ英雄を２体目以降召喚する時は、\n英雄の聖杯の必要数が増加します。
MID_RELAY_HELP_DIALOG_06_02: ◆リレー防衛戦のルール　その他◆\n\n・敵に増援が登場します。
MID_UNIT_EDIT_SPECIAL_TROOP: 特別部隊編成
MID_UNIT_EDIT_RESERVE_TROOP_HELP_DIALOG_01_02: 控え部隊は、\n連戦中に使用する\n特別な部隊です。
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_DIALOG: 表示する部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_PREFIX: 部隊：
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_NORMAL: 通常部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_RESERVE: 控え部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_OCCUPATION: 大部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_SKYCASTLE_OFFENSE: 飛空城　攻撃部隊
MID_UNIT_EDIT_HOLY_GRAIL_FIRST_TIME_REWARD_TITLE: 英雄の聖杯　初入場ボーナス
