[Heroes Archive] (Menu_Tutorial)


Heroes Message Name: Message


MID_ARENA_TITLE: 闘技場
MID_SHOP_STAMINA_CONFIRM_ITEM: スタミナ回復薬×１を消費して\nスタミナを回復しますか？
MID_SHOP_STAMINA_NOTENOUGH_ITEM: スタミナが不足しています。\nスタミナ回復薬×1を消費して\nスタミナを回復しますか？
MID_SHOP_STAMINA_CONFIRM_ORB: オーブ×1を消費して\nスタミナを回復しますか？
MID_SHOP_STAMINA_NOTENOUGH_ORB: スタミナが不足しています。\nオーブ×1を消費して\nスタミナを回復しますか？
MID_SHOP_STAMINA_NOTNECESSARY: スタミナは最大まで回復しています。
MID_SHOP_STAMINA_RESULT_POTION: スタミナ回復薬×1を消費して、\nスタミナを回復しました。
MID_SHOP_STAMINA_RESULT_ORB: オーブ×1を消費して、\nスタミナを回復しました。
MID_SHOP_ARENA_TITLE: 対戦権回復
MID_SHOP_ARENA_CONFIRM_ITEM: 対戦権の剣×1を消費して\n対戦権を回復しますか？
MID_SHOP_ARENA_NOTENOUGH_ITEM: 対戦権が不足しています。\n対戦権の剣×1を消費して\n対戦権を回復しますか？
MID_SHOP_ARENA_CONFIRM_ORB: オーブ×1を消費して\n対戦権を回復しますか？
MID_SHOP_ARENA_NOTENOUGH_ORB: 対戦権が不足しています。\nオーブ×1を消費して\n対戦権を回復しますか？
MID_SHOP_ARENA_NOTNECESSARY: 対戦権が0の時のみ\n回復可能です。
MID_SHOP_ARENA_RESULT_POTION: 対戦権の剣×1を消費して、\n対戦権を回復しました。
MID_SHOP_ARENA_RESULT_ORB: オーブ×1を消費して、\n対戦権を回復しました。
MID_SHOP_EXPAND_TITLE: 兵舎拡張
MID_SHOP_EXPAND_CONFIRM: オーブ×1を消費して、\nキャラ収容人数を拡張しますか？
MID_SHOP_EXPAND_DECIDE: 拡張する
MID_SHOP_EXPAND_CANT_UNIT: これ以上拡張することはできません。
MID_SHOP_EXPAND_RESULT: オーブ×1を消費して、\nキャラ収容人数を拡張しました。
MID_SHOP_UNIT_FULL_INFOR: キャラクターの収容人数が\n上限を超えています。
MID_SHOP_UNIT_FULL_CAN_EXPAND: キャラクター収容人数を拡張するか\nキャラクター数を減らしてください。
MID_SHOP_UNIT_FULL_NO_EXPAND: キャラクター収容人数は拡張限界です。\nキャラクターを減らしてください。
MID_SHOP_UNIT_FULL_EXPAND: 拡張する
MID_SHOP_UNIT_FULL_MOVE: 仲間メニューへ移動する
MID_SHOP_LIMIT_TEENAGER: ２０歳未満
MID_SHOP_LIMIT_TEENAGER_TEXT: $a月$a0個（有償分）まで
MID_SHOP_LIMIT_ADULT: ２０歳以上
MID_SHOP_LIMIT_ADULT_TEXT: 制限なし
MID_SHOP_LIMIT_DESCRIPTION: 年齢によって、１ヶ月の間に\nオーブを購入できる数が決まっています。\nあなたの年齢を選んでください。
MID_SHOP_RECOVER_PURCHASE: オーブ購入の不整合を解消しました。
MID_STAGE_SELECT_SCENARIO: ストーリーマップ
MID_STAGE_SELECT_EVENT: スペシャルマップ
MID_STAGE_SELECT_ENCOUNT: 修練の塔
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_00: 塔で経験値稼ぎ！　結晶、勲章も！
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_01: ◆修練の塔◆\n経験値を効率よく稼げる\n修練場です。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_02: ◆修練の塔の特徴について◆\n修練の塔は挑戦する度に\n地形や敵が変化します。\n突入前に属性アイコンを確認して\n相性の良い仲間で挑みましょう。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_03: ◆修練の塔の報酬について◆\n得られる報酬は、\n結晶と勲章の２つです。\n曜日ごとに\n得られる種類が変化します。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_04: ◆１日１回限定クリア報酬：結晶◆\n結晶は、レベルアップで使用できます。\n\n第６階層以上では、\n大結晶が手に入ることもあります。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_05: ◆毎回クリア報酬：勲章◆\n勲章は、覚醒で使用できます。\n\n第６階層以上では、\n大勲章が手に入ることもあります。
MID_STAGE_SELECT_ARENA: 闘技場
MID_STAGE_SELECT_VOTE: ？？？
MID_STAGE_SELECT_DIFFICULTY0: ノーマル
MID_STAGE_SELECT_DIFFICULTY1: ハード
MID_STAGE_SELECT_DIFFICULTY2: ルナティック
MID_STAGE_SELECT_DETAIL_DECREASE_EXP: クリア済のマップのため、\n獲得できる経験値・ＳＰは減少します。
MID_STAGE_SELECT_DETAIL_RULE: 勝利条件
MID_STAGE_SELECT_DETAIL_FIRST_REWARD: 初回クリア報酬
MID_STAGE_SELECT_DETAIL_REWARD: クリア報酬
MID_STAGE_SELECT_DETAIL_DECIDE: 戦闘開始
MID_STAGE_SELECT_DETAIL_FAILED: 戦闘を開始することができません。
MID_STAGE_SELECT_DETAIL_INSUFFICIENT_UNIT: 部隊の人数が不足しています。
MID_STAGE_SELECT_RULE_SURVIVAL: $a$a0人生存
MID_STAGE_SELECT_RULE_TURN: $a$a0ターン以内に勝利
MID_STAGE_SELECT_RULE_NO_CONTINUE: 光の加護禁止
MID_STAGE_OPEN_NEW_CHAPTER_MAINSTORY: メインストーリーに\n新たな章が追加されました。
MID_STAGE_OPEN_NEW_CHAPTER_SIDESTORY: 外伝に\n新たな章が追加されました。
MID_STAGE_OPEN_NEW_DIFFICULTY: $a$a0に\n新たな難易度が追加されました。
MID_STAGE_OPEN_OTHER_THAN_SCENARIO: スペシャルマップ、闘技場等が\n開放されました。
MID_STAGE_OPEN_FIRST_ENCOUNT: 修練の塔が開放されました。
MID_STAGE_OPEN_NEW_ENCOUNT: 修練の塔に新たな階層が追加されました。
MID_STAGE_SELECT_BONUS_NOTIFICATION1: $a現在、経験値$a0倍！
MID_STAGE_SELECT_BONUS_NOTIFICATION2: $a現在、SP$a0倍！
MID_STAGE_SELECT_BONUS_NOTIFICATION3: $a現在、経験値&SP$a0倍！
MID_STAGE_SELECT_SCENARIO_MAIN: メインストーリー
MID_STAGE_SELECT_SCENARIO_MAIN_INFO: そこは、すべての異界をつなぐ至天の世界。\nアスクとエンブラ――相反する二国の\n戦乱の渦中に召喚されたあなたは…
MID_STAGE_SELECT_SCENARIO_SUB: 外伝
MID_STAGE_SELECT_SCENARIO_SUB_INFO: 新たなる【扉】は開かれた。\nまだ見ぬ英雄たちがその姿を現わす。\n彼らとの出会いがあなたにもたらすものは…
MID_SUMMON_TITLE: 英雄召喚
MID_SUMMON_HELP_DIALOG_00: 召喚で、英雄を仲間にしよう！
MID_SUMMON_HELP_DIALOG_01: 召喚石の色＝英雄の属性
MID_SUMMON_HELP_DIALOG_02: 続けて召喚すると、消費オーブ数がお得
MID_SUMMON_HELP_BONUS: 連続で召喚すると少ないオーブで召喚できます。\n５連続で召喚すると５個お得！
MID_SUMMON_DECIDE: 召喚する
MID_SUMMON_PAY: 召喚する
MID_SUMMON_CANCEL: 召喚を終了する
MID_SUMMON_CANCEL_CONFIRM: 召喚を終了しますか？
MID_SUMMON_CANCEL_WARNING: 召喚を中断すると、\n召喚石の数は５つに戻ります。
MID_SUMMON_PROBABILITY: 英雄の提供割合
MID_SUMMON_PROBABILITY_TEXT: レアリティごとの英雄の提供割合は\n現在、以下の通りです。
MID_SUMMON_PROBABILITY_NORMAL_3: ★３
MID_SUMMON_PROBABILITY_NORMAL_4: ★４
MID_SUMMON_PROBABILITY_NORMAL_5: ★５
MID_SUMMON_PROBABILITY_PICKUP_4: ★４ピックアップ
MID_SUMMON_PROBABILITY_PICKUP_5: ★５ピックアップ
MID_SUMMON_PROBABILITY_PERCENT: %
MID_SUMMON_DETAIL: 詳細
MID_SUMMON_PURCHASE_CONFIRM: 以下のアイテムを消費して、\n召喚を行いますか？
MID_SUMMON_PURCHASE_CONFIRM_CONTINUE: $aオーブ×$a0を消費して、\nこのまま続けて召喚しますか？
MID_SUMMON_FIRST_OPERATION: 召喚石をひとつ選んでください。\n石の色は英雄の属性を表しています。
MID_SUMMON_FIRST_OPERATION_CONFIRM: この召喚石で召喚しますか？
MID_SUMMON_MOVE: 再開する
MID_SUMMON_MOVE_CONFIRM: 前回、召喚の途中で中断されました。\n召喚を再開します。
MID_SUMMON_RESULT: 今回の召喚結果です。
MID_SUMMON_CANCEL_CONTINUE: 召喚を続ける
MID_SUMMON_ERROR_LIST_FAILED: リストの取得に失敗しました。\n通信環境の良いところでもう一度お試し下さい。
MID_SUMMON_ERROR_NO_LIST: 現在、召喚できる状態ではありません。
MID_SUMMON_STONE_NEUTRAL: ◆無色の召喚石◆\n弓や杖など、無属性の英雄を召喚
MID_SUMMON_STONE_RED: ◆赤色の召喚石◆\n剣や赤魔道など、赤属性の英雄を召喚
MID_SUMMON_STONE_BLUE: ◆青色の召喚石◆\n槍や青魔道など、青属性の英雄を召喚
MID_SUMMON_STONE_GREEN: ◆緑色の召喚石◆\n斧や緑魔道など、緑属性の英雄を召喚
MID_SUMMON_REVIEW: いつもプレイしていただき、\nありがとうございます。\nもしよろしければレビューに\nご協力をお願いいたします。
MID_SUMMON_REVIEW_YES: レビューする
MID_SUMMON_REVIEW_LATER_ON: 後でする
MID_SUMMON_REVIEW_NO: レビューしない
MID_SUMMON_REVIEW_CUSTOMER_SUPPORT: お問い合わせ
MID_UNIT_EDIT_EMPTY: 空き
MID_UNIT_EDIT_UNSET: はずす
MID_UNIT_EDIT_BOX: 総勢
MID_UNIT_EDIT_SELECTING: 選択中
MID_UNIT_EDIT_GAIN: 獲得
MID_UNIT_EDIT_EXPEND: 消費
MID_UNIT_EDIT_SORT: ソート：
MID_UNIT_EDIT_SORT_CONFIRM: ソート順を選択してください。
MID_UNIT_EDIT_SORT_KEY: 入手順
MID_UNIT_EDIT_SORT_PERSON: キャラクター
MID_UNIT_EDIT_SORT_LOCK: お気に入り
MID_UNIT_EDIT_FILTER: フィルタ：
MID_UNIT_EDIT_FILTER_CONFIRM: フィルタを選択してください。
MID_UNIT_EDIT_SKILL_HELP_OFF: ヘルプOFF
MID_UNIT_EDIT_SKILL_HELP_ON: ヘルプON
MID_UNIT_EDIT: 仲間
MID_UNIT_EDIT_ORGANIZE: 編成
MID_UNIT_EDIT_SKILL_LEARN: スキル習得
MID_UNIT_EDIT_SKILL_LEARN_HELP1: スキルを習得するキャラクターを選択してください。
MID_UNIT_EDIT_SKILL_LEARN_HELP2: 習得するスキルを選択してください。
MID_UNIT_EDIT_SKILL_LEARN_CONFIRM: 以下のスキルを習得しますか？
MID_UNIT_EDIT_SKILL_LEARN_DECIDE: 習得する
MID_UNIT_EDIT_SKILL_LEARN_EQUIP_CONFIRM: スキルをすぐに装備しますか？
MID_UNIT_EDIT_SKILL_LEARN_EQUIP_DECIDE: 装備する
MID_UNIT_EDIT_SKILL_LEARN_EQUIP_CANCEL: 装備しない
MID_UNIT_EDIT_SKILL_EQUIP: スキル装備変更
MID_UNIT_EDIT_SKILL_EQUIP_HELP1: スキルの装備を変更するキャラクターを選択してください。
MID_UNIT_EDIT_SKILL_EQUIP_HELP2: 装備するスキルを選択してください。
MID_UNIT_EDIT_SKILL_EQUIP_CONFIRM: $aスタミナを$a0消費して\nスキルの装備を変更しますか？
MID_UNIT_EDIT_SKILL_EQUIP_DECIDE: 装備を変更する
MID_UNIT_EDIT_SKILL_EQUIP_COMPLETE_CONFIRM: 装備の変更が完了しました。
MID_UNIT_EDIT_SKILL_EQUIP_CANCEL_CONFIRM: スキルの装備の変更を中止しますか？
MID_UNIT_EDIT_SKILL_EQUIP_CANCEL_WARNING: 編集内容は破棄されます。
MID_UNIT_EDIT_SKILL_EQUIP_CANCEL_DECIDE: 中止する
MID_UNIT_EDIT_LEVEL_UP: レベルアップ
MID_UNIT_EDIT_LEVEL_UP_HELP1: レベルを上昇させるキャラクターを選択してください。
MID_UNIT_EDIT_LEVEL_UP_HELP2: 上昇後のレベルを選択してください。
MID_UNIT_EDIT_LEVEL_UP_CONFIRM: レベルを上昇させますか？
MID_UNIT_EDIT_PROMOTION: 覚醒
MID_UNIT_EDIT_PROMOTION_HELP1: $aレベル$a0以上のキャラクターを選択してください。
MID_UNIT_EDIT_PROMOTION_HELP2: $aレベルや能力値は★$a0の初期値に戻ります。
MID_UNIT_EDIT_PROMOTION_CONFIRM: レアリティを上昇させますか？
MID_UNIT_EDIT_PROMOTION_DECIDE: 上昇させる
MID_UNIT_EDIT_SELL: 送還
MID_UNIT_EDIT_SELL_HELP1: 送還するキャラクターを選択してください。
MID_UNIT_EDIT_SELL_HELP2: キャラクターを消滅させ、\n英雄の翼を獲得します。
MID_UNIT_EDIT_SELL_CONFIRM: 送還しますか？
MID_UNIT_EDIT_SELL_WARNING: 送還した場合、\n送還したキャラクターは消滅します。
MID_UNIT_EDIT_SELL_DECIDE: 送還する
MID_UNIT_EDIT_SELL_COMPLETE_CONFIRM: 送還が完了しました。
MID_UNIT_EDIT_SENIOR: 特別強化
MID_UNIT_EDIT_SKILL_STATUS_EQUIP: 装備中
MID_UNIT_EDIT_SKILL_STATUS_LEARNED: 習得済
MID_UNIT_EDIT_SKILL_STATUS_INSUFFICIENT_PREREQUISITE: 前提不足
MID_UNIT_EDIT_SKILL_STATUS_NON_INHERITABLE: 継承不可
MID_UNIT_EDIT_SKILL_STATUS_UNLEARNED: 未習得
MID_UNIT_EDIT_SKILL_WARNING_WEAPON: 武器種制限のため、継承できません。
MID_UNIT_EDIT_SKILL_WARNING_MOVE: 移動タイプ制限のため、継承できません。
MID_UNIT_EDIT_SKILL_WARNING_FIXED: 専用スキルのため、継承できません。
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_LEARN1: $a$a0の習得が必要です。
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_LEARN2: $a$a0か$a1の\n習得が必要です。
MID_UNIT_EDIT_LIMITBREAK: 限界突破
MID_UNIT_EDIT_LIMITBREAK_DESTINATION: 育成
MID_UNIT_EDIT_LIMITBREAK_SOURCE: 消滅
MID_UNIT_EDIT_LIMITBREAK_HELP1: 同じキャラを重ねて、能力値上昇やＳＰ入手ができます。
MID_UNIT_EDIT_LIMITBREAK_CONFIRM_LVSP: $a能力値が上昇します。\nＳＰを$a0Ｐ入手できます。\nよろしいですか？
MID_UNIT_EDIT_LIMITBREAK_CONFIRM_LV: 能力値が上昇します。\nよろしいですか？
MID_UNIT_EDIT_LIMITBREAK_CONFIRM_SP: $aＳＰを$a0Ｐ入手できます。\nよろしいですか？
MID_UNIT_EDIT_LIMITBREAK_WARNING: ★が同じか、消滅側の方が★が高い場合、\n能力値が上昇し、ＳＰが入手できます。\nそうでない場合、ＳＰのみ入手できます。
MID_UNIT_EDIT_LIMITBREAK_WARNING2: $a強化は＋$a0までが上限です。\nそれ以上はＳＰは入手できますが、\n能力値は上昇しません。
MID_UNIT_EDIT_LIMITBREAK_WARNING3: $aＳＰ上限を超えた分の\n$a0Ｐは入手することができません。
MID_UNIT_EDIT_LIMITBREAK_WARNING4: ＳＰ上限に達しているため、\nＳＰを入手することはできません。
MID_UNIT_EDIT_LIMITBREAK_DIALOG_LVSP: $a能力値が上昇します。\nＳＰを$a0Ｐ入手できます。\nよろしいですか？
MID_UNIT_EDIT_LIMITBREAK_DIALOG_LV: 能力値が上昇します。\nよろしいですか？
MID_UNIT_EDIT_LIMITBREAK_DIALOG_SP: $aＳＰを$a0Ｐ入手できます。\nよろしいですか？
MID_UNIT_EDIT_LIMITBREAK_DIALOG_WARNING: 「消滅」に置かれたキャラは\n消滅します。
MID_UNIT_EDIT_LIMITBREAK_DIALOG_DECIDE_LV: 上昇させる
MID_UNIT_EDIT_LIMITBREAK_DIALOG_DECIDE_SP: 入手する
MID_UNIT_EDIT_LIMITBREAK_BEFORE: 育成前
MID_UNIT_EDIT_LIMITBREAK_AFTER: 育成後
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_00: 出撃メンバーを入れ替えよう
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_01: ◆編成◆\nバトルに出撃する部隊を\n編成できます。\n部隊の左端がリーダーです。
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_02: ◆部隊に仲間を加える◆\n部隊のスロットを選択後\n仲間をタップします。\n\n◆部隊から仲間を外す◆\n部隊の外したい仲間を選択後\n「はずす」をタップします。
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_03: ◆部隊を切り替える◆\n部隊スロットの左右の\n矢印をタップします。\n\n◆仲間の詳細◆\n仲間を長押しします。
MID_UNIT_EDIT_SKILL_LEARN_HELP_DIALOG_00: SPを使って、スキル習得！
MID_UNIT_EDIT_SKILL_LEARN_HELP_DIALOG_01: ◆スキル習得◆\n仲間に新しいスキルを習得させます。\n\n◆ＳＰ（スキルポイント）◆\nスキルは\nＳＰを消費して習得できます。\n\nＳＰは敵を撃破するか、\nレベルアップすることで得られます。
MID_UNIT_EDIT_SKILL_LEARN_HELP_DIALOG_02: ◆覚醒とスキルの関係◆\n仲間は「覚醒」することで\nより強力なスキルが\n習得可能となります。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_00: 装備するスキルを変更できる
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_01: ◆スキル装備変更◆\n仲間が装備するスキルを\n変更できます。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_02: ◆スキルの種類について◆\nスキルは\nアクティブスキルと\nパッシブスキルに分かれます。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_03: ◆アクティブスキル◆\n主に操作に連動して発動します。\n武器、奥義、補助の\n３種類があります。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_04: ◆パッシブスキル◆\n装備しているだけで\n効果が発揮されます。\n\nA,B,Cの３タイプが存在し\nそれぞれ１つずつ装備できます。
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_00: 結晶を使って、レベルアップ！
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_01: ◆レベルアップ◆\n結晶を消費して\n仲間のレベルを\n上げることができます。
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_02: ◆結晶の属性について◆\n結晶は仲間の属性に\n合ったものが必要です。\n万物の結晶のみ\n全ての属性に使用可能です。
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_03: ◆結晶と大結晶について◆\nレベル１９以下は「結晶」\nレベル２０以上は「大結晶」を\n消費します。\n\n大結晶は修練の塔の\n第６階層以上で入手できます。
MID_UNIT_EDIT_SELL_HELP_DIALOG_00: 英雄を、英雄の翼に
MID_UNIT_EDIT_SELL_HELP_DIALOG_01: ◆送還◆\n仲間を異界に送り返し\n代わりに、英雄の翼を入手します。\n送還した仲間は失われますので\n十分にご注意ください。
MID_UNIT_EDIT_SELL_HELP_DIALOG_02: ◆お気に入り機能の紹介◆\n仲間を「お気に入り」登録すると\n（送還など）仲間を失う機能の\n対象外になります。
MID_UNIT_EDIT_SELL_HELP_DIALOG_03: ◆お気に入り機能の使い方◆\n仲間の詳細画面から、\n画面左上のハートマークを\nタップしてください。\nお気に入りのオン/オフを\n変更できます。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_00: 覚醒で、★が一つアップ！
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_01: ◆覚醒◆\nレベル２０以上の仲間の\n★を１段階アップできます。\n\nレベルは１に戻りますが、\n★が増えることで\n能力値が高まるほか、\n強力なスキルが習得可能になります。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_02: ◆★１～３の仲間の覚醒◆\n英雄の翼と、勲章を消費します。\n\n英雄の翼は、\n闘技場などで入手できます。\n\n勲章は、\n修練の塔で入手できます。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_03: ◆★４の仲間の覚醒◆\n英雄の翼と、大勲章を消費します。\n\n大勲章は、\n修練の塔の第６階層以上で\n入手できます。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_04: ◆「限界突破」能力値アップの消失◆\n「限界突破」での能力値のアップは、\n「覚醒」を行うと失われます。\nご注意ください。
MID_UNIT_EDIT_LIMITBREAK_HELP_DIALOG_00: 同じ仲間を重ねて、限界突破！
MID_UNIT_EDIT_LIMITBREAK_HELP_DIALOG_01: ◆限界突破◆\n同じ仲間２人が\n力を合わせて限界を超え\nＳＰを入手します。\nただし消滅側にセットされた\n仲間は失われます。
MID_UNIT_EDIT_LIMITBREAK_HELP_DIALOG_02: ◆能力値上昇◆\n★が同じか、消滅側の方が★が高い場合、\n能力値が上昇し、ＳＰも入手できます。\nそうでない場合、ＳＰのみ入手できます。\n\nアップした能力値は、その後、\n「覚醒」を行うと失われます。\nご注意ください。
MID_NOT_EQQUIPPED: 装備不可
MID_EQQUIPPED_ONLY_PERSON: 本人のみ装備可能
MID_EQQUIPPED_ONLY_ROD: 杖のみ装備可能
MID_UNIT_EDIT_FAVORITE_SET: お気に入りマークを\n設定できます。
MID_UNIT_EDIT_FAVORITE_TYPE: $aお気に入り$a0
MID_UNIT_EDIT_FAVORITE_NONE: 設定なし
MID_UNIT_EDIT_FAVORITE_FILTER: お気に入りマークを設定した\nキャラクターを優先表示できます。\nお気に入り設定は\nステータス画面で設定できます。
MID_UNIT_EDIT_FAVORITE_FILTER_UNSET: 優先表示なし
MID_UNIT_INFO_EXP_MAX: MAX
MID_UNIT_INFO_TO_TALK: TOUCH!
MID_UNIT_INFO_NOW_TALK: TALK!
MID_UNIT_INFO_EXP_REMAIN: あと
MID_UNIT_INFO_TO_SKILLLIST: スキル一覧
MID_UNIT_INFO_TO_STATUS: ステータス
MID_UNIT_INFO_LIMITBREAK: 限界突破
