[Heroes Archive] (Menu_00_first)


Heroes Message Name: Message


MID_EXTRA_HEROISM_LIST: 英雄值一覽
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP: 只能選擇一人作為與召喚師締結羈絆誓約的對象。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_C: 兩人似乎在互相稱頌彼此的戰鬥。\n在附近戰鬥時，能力值將會提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_C_WITH_USER: 兩人似乎在互相稱頌彼此的戰鬥。\n夥伴的能力提升了。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_B: 兩人似乎一起特訓，讓羈絆更深厚了。\n在附近戰鬥時，能力將會進一步提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_B_WITH_USER: 兩人似乎一起特訓，讓羈絆更深厚了。\n夥伴的能力進一步提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A1: 兩人似乎在談論彼此的事情。\n在附近戰鬥時，能力將會進一步提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A1_WITH_USER: 兩人似乎在談論彼此的事情。\n夥伴的能力進一步提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A2: 兩人似乎在談論夢想。\n在附近戰鬥時，能力將會進一步提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_A2_WITH_USER: 兩人似乎在談論夢想。\n夥伴的能力進一步提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_S: 兩人締結了強韌的羈絆！\n在附近戰鬥時，能力將會進一步提升。
MID_UNIT_EDIT_RELIANCE_PROCESS_RANK_S_WITH_USER: 兩人締結了強韌的羈絆！\n夥伴的能力進一步提升。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_00: 締結夥伴之間的羈絆吧！
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_01: ◆支援◆\n可在夥伴之間締結的羈絆。\n\n附近有彼此締結支援的對象，\n在戰鬥中將可獲得優勢。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_02: ◆締結支援◆\n可選擇兩位夥伴\n締結支援。\n\n最初會從\n支援等級Ｃ開始。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_03: ◆提升支援等級◆\n彼此距離２格以內的夥伴，\n在與等級３５以上的敵人戰鬥後，\n夥伴間的情誼會稍微加深。\n\n情誼加深超過一定程度，\n支援等級就會提升。\n支援等級分為ＣＢＡＳ。
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_04: ◆支援效果１◆\n兩人關係在支援等級Ｃ以上，\n且戰鬥時相鄰，則能力值會提升。\n\nＣ　魔防＋２\nＢ　防守魔防＋２\nＡ　速度防守魔防＋２\nＳ　攻擊速度防守魔防＋２
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_05: ◆支援效果２◆\n兩人關係在支援等級Ｃ以上，\n且戰鬥時距離１格，則能力值會提升。\n\nＣ　魔防＋１\nＢ　防守魔防＋１\nＡ　速度防守魔防＋１\nＳ　攻擊速度防守魔防＋１
MID_UNIT_EDIT_RELIANCE_HELP_DIALOG_06: ◆支援的限制◆\n可締結支援的對象以一人為限。\n之後仍可變更支援對象。\n\n但將會重設\n與目前對象之間的支援等級。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_00: 締結召喚師與夥伴的羈絆！
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_01: ◆與召喚師的羈絆誓約◆\n召喚師與夥伴\n可締結特別的羈絆。\n\n若締結羈絆誓約，\n夥伴的能力將會提升。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_02: ◆締結羈絆誓約◆\n可透過選擇夥伴\n來締結羈絆誓約。\n\n最初會從\n羈絆等級Ｃ開始。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_03: ◆提升羈絆等級◆\n在跟等級３５以上的敵人戰鬥後，\n召喚師跟夥伴間的\n情誼會稍微加深。\n\n情誼加深超過一定程度，\n羈絆等級就會提升。\n羈絆等級分為ＣＢＡＳ。
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_04: ◆羈絆效果◆\n若關係在羈絆等級Ｃ以上，\n則夥伴能力將會常態性提升。\n\nＣ　ＨＰ＋３、魔防＋２\nＢ　ＨＰ＋４、防守魔防＋２\nＡ　ＨＰ＋４、速度防守魔防＋２\nＳ　ＨＰ＋５、攻擊速度防守魔防＋２
MID_UNIT_EDIT_RELIANCE_PLAYER_HELP_DIALOG_05: ◆羈絆誓約的限制◆\n可締結羈絆誓約的對象以一人為限。\n之後仍可變更羈絆誓約的對象。\n\n但將會重設\n與目前對象之間的羈絆等級。
MID_UNIT_EDIT_RELIANCE_SORT_ATTRIBUTE: 屬性
MID_UNIT_EDIT_RELIANCE_SORT_WEAPON: 武器類型
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_1: 支援 C 回顧
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_2: 支援 B 回顧
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_3: 支援 A 回顧
MID_UNIT_EDIT_RELIANCE_RECOLLECTION_4: 支援 S 回顧
MID_UNIT_EDIT_RELIANCE_SUMMONER_NAME: 您
MID_ARENA_DIALOG_NO_MEMBER_ERROR_TEXT: 無法開始對戰。
MID_ARENA_DIALOG_NO_MEMBER_ERROR_WARNING: 部隊人數不足。
MID_PRESENT_LIST_CONFIRM_ALL_RECEIVE: 要領取下列禮物嗎？
MID_MISSION_CONFIRM_ALL_RECEIVE: 要領取下列報酬嗎？
MID_ITEM_HELP_PROMOTION_RED1_1108: ・用於「覺醒」\n　可以讓★３以下赤屬性的夥伴上升１個★\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_PROMOTION_RED2_1108: ・用於「覺醒」\n　可以讓★４赤屬性的夥伴變為★５\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_PROMOTION_BLUE1_1108: ・用於「覺醒」\n　可以讓★３以下青屬性的夥伴上升１個★\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_PROMOTION_BLUE2_1108: ・用於「覺醒」\n　可以讓★４青屬性的夥伴變為★５\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_PROMOTION_GREEN1_1108: ・用於「覺醒」\n　可以讓★３以下綠屬性的夥伴上升１個★\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_PROMOTION_GREEN2_1108: ・用於「覺醒」\n　可以讓★４綠屬性的夥伴變為★５\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_PROMOTION_NEUTRAL1_1108: ・用於「覺醒」\n　可以讓★３以下無屬性的夥伴上升１個★\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_PROMOTION_NEUTRAL2_1108: ・用於「覺醒」\n　可以讓★４無屬性的夥伴變為★５\n・用於「聖印產生・覺醒」
MID_ITEM_HELP_HOLY_COIN_1108: 用於「聖印產生・覺醒」\n據說用於上古儀式的\n貴重硬幣
MID_MISSION_JUMP_UNAVAILABLE: 現在無法遊玩\n任務對象的地圖。
MID_MISSION_JUMP_CONFIRM: 要前往挑戰任務嗎？
MID_MISSION_JUMP_DECIDE: 前往挑戰
MID_STAGE_OPEN_SKILL_ACCESSORY_PROMOTION: 已開放\n產生聖印・聖印覺醒
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_1: ＨＰ＋３、魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_2: ＨＰ＋４、防守魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_3: ＨＰ＋４、速度防守魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PLAYER_4: ＨＰ＋５、攻撃速度防守魔防＋２
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_1: 與支援對象相鄰時，\n戰鬥中的魔防＋２\n相隔一格時，\n戰鬥中的魔防＋１
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_2: 與支援對象相鄰時，\n戰鬥中的防守及魔防＋２\n相隔一格時，\n戰鬥中的防守及魔防＋１
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_3: 與支援對象相鄰時，\n戰鬥中的速度防守魔防＋２\n相隔一格時，\n戰鬥中的速度防守魔防＋１
MID_UNIT_EDIT_RELIANCE_EFFECT_PAIR_4: 與支援對象相鄰時，\n戰鬥中的攻擊速度防守魔防＋２\n相隔一格時，\n戰鬥中的攻擊速度防守魔防＋１
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_AND_PROMOTION: 產生聖印・聖印覺醒
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION: 產生聖印
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION: 聖印覺醒
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_HELP: 請選擇要產生的聖印。
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_NO_TARGET: 沒有可產生的聖印。
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATION_CONFIRM: 要產生以下聖印嗎？
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATE: 產生
MID_UNIT_EDIT_SKILL_ACCESSORY_GENERATE_SUCCESS: 已產生【聖印】。
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_HELP: 請選擇要覺醒的聖印。
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_NO_TARGET: 沒有可覺醒的聖印。
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_CONFIRM: 要讓以下聖印覺醒嗎？
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTE: 覺醒
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTION_ARROW: →
MID_UNIT_EDIT_SKILL_ACCESSORY_PROMOTE_SUCCESS: 【聖印】已覺醒。
MID_UNIT_EDIT_ACCESSORY_PROMOTION_HELP_DIALOG_00: 讓聖印覺醒，變得更強！
MID_UNIT_EDIT_ACCESSORY_PROMOTION_HELP_DIALOG_01: ◆產生聖印◆\n可以產生尚未擁有的聖印。\n\n會消費勳章、大勳章及聖幣。
MID_UNIT_EDIT_ACCESSORY_PROMOTION_HELP_DIALOG_02: ◆聖印覺醒◆\n可以讓擁有的聖印覺醒，\n變得更強。\n\n會消費勳章、大勳章及聖幣。
MID_VOTE_DIALOG_NO_LEADER_ERROR_TEXT: 無法出戰。
MID_VOTE_DIALOG_NO_LEADER_ERROR_WARNING: 請設定部隊隊長。
MID_SEQUENTIAL_MAP_TERM_201709_2: 宿命時刻
MID_SEQUENTIAL_MAP_TERM_201710: 光之系譜
MID_SEQUENTIAL_MAP_TERM_201711: 即便不是英雄
MID_ARENA_RANK_CALCULATING: 計算中
MID_ARENA_DIALOG_HELP_2_02_701: ◆關於防衛部隊◆\n可在編組中將任何部隊\n設定為防衛部隊。
MID_SPRINKLES_GIFT_RECEIVED: 已取得Google Play禮品卡特典！\n特典已送至禮物盒。
MID_SPRINKLES_GIFT_ALREADY_RECEIVED: 沒有可領取的\n新Google Play禮品卡特典。\n※有可能已取得特典，\n請至禮物盒確認。
MID_SPRINKLES_INVENTORY_MESSAGE: Google Play禮品卡特典
MID_LOAD_OUT_OF_TERM_CONFIRM: 已超過期限，\n無法繼續遊戲。\n即將刪除中斷資料。
MID_MISSION_ALL_RECEIVE_COMPLETED: 已領取所有\n已達成的任務報酬。
MID_MISSION_APPEAR_STRATUM_LIST: 下列任務\n已新增難易度。
MID_SEQUENTIAL_MAP: 戰渦連戰
MID_SEQUENTIAL_MAP_CLOSED: 目前未舉辦。
MID_SEQUENTIAL_MAP_AGGREGATING: 現正計算中。
MID_SEQUENTIAL_MAP_REMAINING_DAYS: $a距離作戰結束還有$a0天
MID_SEQUENTIAL_MAP_REMAINING_HOURS: $a距離作戰結束還有$a0小時
MID_SEQUENTIAL_MAP_REMAINING_MINUTES: $a距離作戰結束還有$a0分鐘
MID_SEQUENTIAL_MAP_ENTER_STAGE_SELECT: 選擇關卡
MID_SEQUENTIAL_MAP_STAGE_CONSTRAINT: $a$a1連戰：我軍$a0部隊
MID_SEQUENTIAL_MAP_STAGE_SELECT_WARNING: 只要派獎勵角色出擊，\n就能進一步提升得分。
MID_SEQUENTIAL_MAP_STAGE_SELECT_POINT_WIN: 過關最終地圖後
MID_SEQUENTIAL_MAP_STAGE_SELECT_POINT_LOSE: 敗北時
MID_SEQUENTIAL_MAP_STAGE_TELOP_STAGE_TITLE: $a關卡$a0
MID_SEQUENTIAL_MAP_STAGE_TELOP_STAGE_NUM: $a($a0/$a1)
MID_SEQUENTIAL_MAP_STAGE_TELOP_TROOP_NUM: $a第$a0部隊 ($a1/$a2)
MID_SEQUENTIAL_MAP_SYSTEM_MENU_STAGE_NUM: $a關卡$a0 ($a1/$a2)
MID_SEQUENTIAL_MAP_SYSTEM_MENU_TROOP_NUM: $a第$a0部隊 ($a1/$a2)
MID_SEQUENTIAL_MAP_STAGE_TELOP_RULE_TITLE: 勝利條件
MID_SEQUENTIAL_MAP_REWARD: 檢視報酬
MID_SEQUENTIAL_MAP_REWARD_RANK: 排名
MID_SEQUENTIAL_MAP_OUT_OF_RANGE: 排名外
MID_SEQUENTIAL_MAP_RANK_AGGREGATING: 計算中
MID_SEQUENTIAL_MAP_REWARD_POINT: 累計得分
MID_SEQUENTIAL_MAP_REWARD_POINT_SHORT: 累計
MID_SEQUENTIAL_MAP_REWARD_SORT: $a報酬種類：$a0
MID_SEQUENTIAL_MAP_REWARD_SORT_POINT: 得分
MID_SEQUENTIAL_MAP_REWARD_SORT_RANK: 排名
MID_SEQUENTIAL_MAP_REWARD_SORT_DIALOG: 報酬種類
MID_SEQUENTIAL_MAP_BONUS_CHARACTER: 本次獎勵角色
MID_SEQUENTIAL_MAP_BONUS_CHARACTER_CAPTION_1: 將本角色加入出擊成員中，即可提升得分！
MID_SEQUENTIAL_MAP_BONUS_CHARACTER_CAPTION_2: （若選擇多位角色則僅取最大值，不合併計算）
MID_SEQUENTIAL_MAP_BONUS_CHARACTER_RATIO: $a＋$a0％
MID_SEQUENTIAL_MAP_REORGANIZE: 編組
MID_SEQUENTIAL_MAP_REORGANIZE_TROOP_INFO: $a第$a0部隊（$a0/$a1）
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER: 投降
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_CONFIRM: 要放棄挑戰連續地圖，\n棄權投降嗎？
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_WARNING: 投降後，\n可依據本次過關的關卡數\n獲得分數。
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_DECIDE: 投降
MID_SEQUENTIAL_MAP_REORGANIZE_SURRENDER_CANCEL: 返回編組
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START: 開始戰鬥
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START_CONFIRM: 要以編組完成的隊伍\n開始戰鬥嗎？
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START_DECIDE: 開始戰鬥
MID_SEQUENTIAL_MAP_REORGANIZE_BATTLE_START_CANCEL: 返回編組
MID_SEQUENTIAL_MAP_REORGANIZE_VIEW_MAP: 確認地圖
MID_SEQUENTIAL_MAP_REORGANIZE_BONUS_CHARACTER: 獎勵角色一覽
MID_SEQUENTIAL_MAP_RESULT: 本次結果
MID_SEQUENTIAL_MAP_RESULT_BASIC_POINT: 基本得分
MID_SEQUENTIAL_MAP_RESULT_CLEARED_MAP: 突破地圖
MID_SEQUENTIAL_MAP_RESULT_ALIVE_EVALUATION: 生存評分
MID_SEQUENTIAL_MAP_RESULT_SPEED_EVALUATION: 速度評分
MID_SEQUENTIAL_MAP_RESULT_BONUS_CHARACTER: 獎勵角色
MID_SEQUENTIAL_MAP_RESULT_ADDED_POINT: 本次得分
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_A: A
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_B: B
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_C: C
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_D: D
MID_SEQUENTIAL_MAP_RESULT_EVALUATION_E: E
MID_SEQUENTIAL_MAP_RESULT_RATE: $a×$a0
MID_SEQUENTIAL_MAP_RESULT_RATE_NONE: -
MID_SEQUENTIAL_MAP_RESULT_CLEARED_MAP_NUM: $a$a0/$a1
MID_SEQUENTIAL_MAP_RESULT_DETAIL: $a($a0)
MID_SEQUENTIAL_MAP_DIALOG_END_OF_TERM: 超過賽季結束時間，\n無法顯示結果。
MID_SEQUENTIAL_MAP_TERM_EXPIRED: 本賽季的活動時間\n已結束。
MID_SEQUENTIAL_MAP_TERM_201706: 遮蔽覺醒之烏雲
MID_SEQUENTIAL_MAP_HELP_DIALOG_00: 運用多組我軍部隊來通過連戰！
MID_SEQUENTIAL_MAP_HELP_DIALOG_01: ◆戰渦連戰◆\n此為連續戰鬥地圖，每通過一張\n地圖，下一張地圖就會接著出現。\n我軍必須以當下的ＨＰ\n直接進入下一場對戰。\n\n玩家的目標就是\n通過預設的每一張地圖。
MID_SEQUENTIAL_MAP_HELP_DIALOG_02: ◆隊伍全滅就派下一組部隊出擊◆\n如果第一批的隊員全滅，\n玩家必須選擇\n全滅隊員以外的新隊員，\n再次挑戰該地圖。\n\n如果全滅次數超過規定，\n則遊戲結束。
MID_SEQUENTIAL_MAP_HELP_DIALOG_03: ◆得分◆\n在連戰地圖表現精彩\n即可獲得分數。\n\n活動期間的\n累計得分可獲得\n相對應的報酬。
MID_SEQUENTIAL_MAP_HELP_DIALOG_04: ◆本賽季的獎勵角色◆\n將獎勵角色\n加入出擊成員中，\n即可提升得分。\n\n若選擇多位角色\n則僅取最大值，\n不合併計算。
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_00: ◆檢視報酬◆\n可檢視這次的報酬。\n\n切換篩選條件，\n即可分別檢視\n「得分」與「排名」。
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_01: ◆得分◆\n本次活動的\n累計得分報酬一覽表。\n\n
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_02: ◆排名◆\n排名報酬一覽表。\n取前500,000名的\n名次排名。\n\n從計算開始到顯示排名為止\n可能會有時間落差。
MID_SEQUENTIAL_MAP_REWARD_HELP_DIALOG_03: ◆領取報酬◆\n累計得分報酬將於\n達到累計得分時獲得。\n\n關於排名報酬，只要在\n活動期間結束後～\n下次戰渦連戰開始前的期間內\n進入戰渦連戰，即可領取報酬。
MID_SEQUENTIAL_MAP_GAINED_REWARDTYPE_RANK: $a戰渦連戰‧排名報酬　$a0名
MID_SEQUENTIAL_MAP_GAINED_REWARDTYPE_RANK_OUT_OF_RANGE: 戰渦連戰‧排名報酬　排名外
MID_SEQUENTIAL_MAP_GAINED_REWARDTYPE_POINT: $a戰渦連戰‧累計得分報酬　$a0
MID_STAGE_TITLE_DIFFICULTY3: 地獄
MID_UNIT_EDIT_TROOP_INDEX: $a部隊$a0
MID_UNIT_EDIT_TROOP_NAME_EDIT: 編輯部隊名稱
MID_UNIT_EDIT_TROOP_NAME_PLACE_HOLDER: 輸入部隊名稱
MID_UNIT_EDIT_TROOP_NAME_ASK: 請輸入部隊名稱。
MID_UNIT_EDIT_TROOP_NAME_ASK_INFO: 名字限制為１２個字以內。\n無法使用部分符號。
MID_UNIT_EDIT_TROOP_SET_DEFENSE: 設定為防衛部隊
MID_UNIT_EDIT_TROOP_NAME_EMPTY: －－－－－－－－－－－－
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_04_701: ◆編輯部隊名稱◆\n可編輯部隊名稱。\n\n◆設定防衛部隊◆\n設定在鬥技場中登場\n負責防衛的部隊。\n防衛部隊將標有盾牌符號。
