[Heroes Archive] (Menu_63_dream01)


Heroes Message Name: Message


MID_ITEM_HOLY_GRAIL: 英雄的聖杯
MID_SKYCASTLE_BATTLE_RANKING_HELP_DIALOG_01: ◆自己的排名、前段排名◆\n位在本賽季的\n計算範圍內的玩家排名。\n\n◆好友◆\n自己好友的排名。\n不止計算本賽季，\n也包含過去賽季的成績。
MID_SKYCASTLE_TUTORIAL_DIALOG_01: 選擇「編輯飛空城」，\n進行對戰的準備吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_03: 【攻擊地圖】用於對戰。\n向敵人的飛空城進攻吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_03_2: 【防衛地圖】用於防衛戰。\n從敵人的攻擊中，守護防衛部隊吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_04: 首先，製造【攻擊設備】\n並設置於攻擊地圖上吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_15: $a可以消費飛空石或天空水滴，\n進行製造‧強化設備。\n\n這次先試著製造\n【$a0】吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_05: $a製造\n【$a0】吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_06: 已製造攻擊設備。
MID_SKYCASTLE_TUTORIAL_DIALOG_06_WARNING: ※已製造的設備\n　可以從「設置設備」選單中\n　進行設置‧撤除。
MID_SKYCASTLE_TUTORIAL_DIALOG_07: 設備和角色一樣，\n可以移動來變更設置的位置。
MID_SKYCASTLE_TUTORIAL_DIALOG_08: 移動攻擊設備\n來變更配置吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_09: 已變更配置。
MID_SKYCASTLE_TUTORIAL_DIALOG_09_WARNING: ※防衛地圖也同樣地\n　可以變更配置。
MID_SKYCASTLE_TUTORIAL_DIALOG_12: 使用編輯好的攻擊地圖，\n和對手的飛空城進行對戰吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_10: 強化飛空城，讓攻擊成功，\n賺取報酬，使飛空城更加強大吧！
MID_SKYCASTLE_TUTORIAL_DIALOG_13: 使用【自動配置】一起編輯吧！\n「切換選單」＞「自動配置」
MID_SKYCASTLE_TUTORIAL_DIALOG_16: 點觸左右的箭頭\n來選擇配置類型吧。
MID_SKYCASTLE_TUTORIAL_DIALOG_17: 因目前為教學模式，故無法撤除。
MID_SKYCASTLE_TUTORIAL_DUMMY_TROOP: 異界的特務機關
MID_SKYCASTLE_TUTORIAL_BATTLE_02_DIALOG_00: 堡壘以外的設備皆可破壞！\n只要破壞【資源】就能回復能量！
MID_SKYCASTLE_TUTORIAL_BATTLE_01_DIALOG_00: 注意敵人的【防衛設備】！\n點觸設備可以確認設備的效果。
MID_SCF_ギュミル泉: 能量之泉
MID_SCF_ギュミル泉_HELP: $a每天可回復飛空城的能量ｘ$a0\n若遭到破壞，則會回復攻擊方的能量（攻擊勝利時）\n※無法撤除此設備，但可於戰鬥中破壞
MID_SCF_ギュミル水瓶: 能量水瓶
MID_SCF_ギュミル水瓶_HELP: $a最多可儲藏飛空城的能量ｘ$a0\n若遭到破壞，則會回復攻擊方的能量（攻擊勝利時）\n※無法撤除此設備，但可於戰鬥中破壞
MID_SCF_防砦: 防衛堡壘
MID_SCF_防砦_HELP: 等級比敵方的攻擊堡壘來得高時，\n我方全員的能力會依照等級差而上升\n（攻擊、速度、防守、魔防＋等級差×４）\n※無法撤除此設備，也無法於戰鬥中破壞
MID_SCF_防雷: 防衛・雷之塔
MID_SCF_防雷_HELP: $a第３回合開始時，以此設備為中心\n給予縱向７格×橫向３格內的敵人$a0傷害
MID_SCF_防軍師: 防衛・軍師的作戰室
MID_SCF_防軍師_HELP: $a回合開始時，以此設備為中心\n將縱向７格×橫向３格內ＨＰ$a0以下\n武器為弓、暗器、魔法、杖的敵人移動範圍\n限為最大１格（直到敵人下次行動結束）
MID_SCF_防回復: 防衛・回復之塔
MID_SCF_防回復_HELP: $a回合開始時，以此設備為中心\n回復縱向５格×橫向５格內的我方$a0ＨＰ
MID_SCF_防対歩行: 防衛・對抗步行訓練所
MID_SCF_防対歩行_HELP: $a回合開始時，以此設備為中心，縱向３格內\n步行敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_防対重装: 防衛・對抗重裝訓練所
MID_SCF_防対重装_HELP: $a回合開始時，以此設備為中心，縱向３格內\n重裝敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_防対騎馬: 防衛・對抗騎馬訓練所
MID_SCF_防対騎馬_HELP: $a回合開始時，以此設備為中心，縱向３格內\n騎馬敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_防対飛行: 防衛・對抗飛行訓練所
MID_SCF_防対飛行_HELP: $a回合開始時，以此設備為中心，縱向３格內\n飛行敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_防恐慌: 防衛・恐慌之館
MID_SCF_防恐慌_HELP: $a回合開始時，以此設備為中心\n將縱向７格×橫向３格內，ＨＰ在$a0以下\n敵人的強化狀態由＋轉－（直到敵人下次行動結束）
MID_SCF_防投石: 防衛・投石機
MID_SCF_防投石_HELP: 回合開始時，破壞與此設備\n位在相同縱列且等級較低的敵方攻擊設備\n（無法破壞攻擊堡壘）
MID_SCF_攻砦: 攻擊堡壘
MID_SCF_攻砦_HELP: 等級比敵方的防衛堡壘來得高時，\n我方全員的能力會依照等級差而上升\n（攻擊、速度、防守、魔防＋等級差×４）\n※無法撤除此設備，也無法於戰鬥中破壞
MID_SCF_攻雷: 攻擊・雷之塔
MID_SCF_攻雷_HELP: $a第３回合開始時，以此設備為中心\n給予縱向３列的敵人$a0傷害
MID_SCF_攻軍師: 攻擊・軍師的作戰室
MID_SCF_攻軍師_HELP: $a回合開始時，與此設備位於相同縱列，\nＨＰ$a0以下武器為弓、暗器、魔法、杖的敵人\n移動範圍限為最大１格（直到敵人下次行動結束）
MID_SCF_攻回復: 攻擊・回復之塔
MID_SCF_攻回復_HELP: $a回合開始時，回復位於此設備下方\n縱向３格×橫向５格內的我方$a0ＨＰ
MID_SCF_攻対歩行: 攻擊・對抗步行訓練所
MID_SCF_攻対歩行_HELP: $a回合開始時，以此設備為中心，縱向３格內\n步行敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_攻対重装: 攻擊・對抗重裝訓練所
MID_SCF_攻対重装_HELP: $a回合開始時，以此設備為中心，縱向３格內\n重裝敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_攻対騎馬: 攻擊・對抗騎馬訓練所
MID_SCF_攻対騎馬_HELP: $a回合開始時，以此設備為中心，縱向３格內\n騎馬敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_攻対飛行: 攻擊・對抗飛行訓練所
MID_SCF_攻対飛行_HELP: $a回合開始時，以此設備為中心，縱向３格內\n飛行敵人的攻擊、速度、防守、魔防－$a0\n（直到敵人下次行動結束）\n無法同時設置複數個相同的防衛訓練所
MID_SCF_攻恐慌: 攻擊・恐慌之館
MID_SCF_攻恐慌_HELP: $a回合開始時，以此設備為中心\n將縱向３列內，ＨＰ在$a0以下\n敵人的強化狀態由＋轉－（直到敵人下次行動結束）
MID_SCF_攻投石: 攻擊・投石機
MID_SCF_攻投石_HELP: 回合開始時，破壞與此設備\n位在相同縱列且等級較低的敵方防衛設備\n（無法破壞防衛堡壘、陷阱、資源、裝飾）
MID_SCF_落雷の罠A: 落雷陷阱
MID_SCF_落雷の罠A_BATTLE: 陷阱
MID_SCF_落雷の罠A_HELP: $a若敵人結束移動時位於設置的格子內，\n將給予敵人和周圍３格內的敵方$a0傷害\n（敵方身上的攻擊、輔助技能將被取消）
MID_SCF_落雷の罠A_BATTLEHELP: 好像設置著什麼機關的地面
MID_SCF_重圧の罠A: 重壓陷阱
MID_SCF_重圧の罠A_BATTLE: 陷阱
MID_SCF_重圧の罠A_HELP: $a若敵人結束移動時位於設置的格子內，\n敵人和周圍２格內的敵方中，ＨＰ$a0以下的敵人\n移動範圍限為最大１格\n（直到敵人下次行動結束）\n（敵方身上的攻擊、輔助技能將被取消）
MID_SCF_重圧の罠A_BATTLEHELP: 好像設置著什麼機關的地面
MID_SCF_落雷の罠ダミー: 偽・落雷陷阱
MID_SCF_落雷の罠ダミー_BATTLE: 陷阱
MID_SCF_落雷の罠ダミー_HELP: 偽裝成落雷陷阱的仿冒品
MID_SCF_落雷の罠ダミー_BATTLEHELP: 好像設置著什麼機關的地面
MID_SCF_重圧の罠ダミー: 偽・重壓陷阱
MID_SCF_重圧の罠ダミー_BATTLE: 陷阱
MID_SCF_重圧の罠ダミー_HELP: 偽裝成重壓陷阱的仿冒品
MID_SCF_重圧の罠ダミー_BATTLEHELP: 好像設置著什麼機關的地面
MID_SCF_金の玉座: 黃金寶座
MID_SCF_金の玉座_HELP: $a於飛空城達成排名$a0～$a1名\n之人才能坐上的寶座\n達成次數超過２次以上後，將會顯示次數
MID_SCF_銀の玉座: 白銀寶座
MID_SCF_銀の玉座_HELP: $a於飛空城達成排名$a0～$a1名\n之人才能坐上的寶座\n達成次數超過２次以上後，將會顯示次數
MID_SCF_銅の玉座: 銅之寶座
MID_SCF_銅の玉座_HELP: $a於飛空城達成排名$a0～$a1名\n之人才能坐上的寶座\n達成次數超過２次以上後，將會顯示次數
MID_SCF_その他1: 菲的石像
MID_SCF_その他1_HELP: 飛空城特別活動的物品\n經過本人的監修，製作得相當精巧
MID_SCF_その他2: 歡喜花圃
MID_SCF_その他2_HELP: 飛空城特別活動的物品\n佈置著色彩鮮豔的花朵
MID_SCF_その他3: 懷舊街燈
MID_SCF_その他3_HELP: 飛空城特別活動的物品\n富饒趣味的懷舊設計。
MID_SCF_K0001: 泉水之城
MID_SCF_K0001_Ex: 特徵：池塘
MID_SCF_K0002: 冰雪之城
MID_SCF_K0002_Ex: 特徵：林地
MID_SCF_K0003: 廢墟之城
MID_SCF_K0003_Ex: 特徵：斷垣殘壁
MID_SCF_K0004: 白雪覆蓋之城
MID_SCF_K0004_Ex: 特徵：防禦地形＋溝狀地形
MID_SCF_K0005: 沙漠之城
MID_SCF_K0005_Ex: 特徵：山
MID_SCF_K0006: 春風之城
MID_SCF_K0006_Ex: 特徵：牆壁
MID_SCF_K0007: 葉間傾瀉陽光之城
MID_SCF_K0007_Ex: 特徵：林地、溝狀地形
MID_SCF_K0008: 忘卻之城
MID_SCF_K0008_Ex: 特徵：防禦地形、林地
MID_SCF_K0009: 夏草之城
MID_SCF_K0009_Ex: 特徵：林地
MID_SCF_K0010: 炎熱之城
MID_SCF_K0010_Ex: 特徵：熔岩
MID_ITEM_SKYCASTLE_201811: 記念用飛空石
MID_ITEM_HELP_SKYCASTLE_201811: 用於「飛空城」\n可以製造期間限定的設備\n期間一過，將會全數消失。
MID_STAGE_SKYCASTLE: 飛空城
MID_STAGE_SKYCASTLE_TESTPLAY: 飛空城　模擬戰
MID_STAGE_SKYCASTLE_TUTORIAL: 飛空城　教學模式
MID_STAGE_SELECT_BLESSING_GARDEN_INFO_2: 帶領被賦予祝福英雄、傳承英雄挑戰！
MID_STAGE_SELECT_SEQUENTIAL_MAP: 連戰地圖
MID_STAGE_SELECT_SEQUENTIAL_MAP_INFO: 為連續戰鬥的地圖。
MID_TAP_BATTLE_DATA_TITLE_0010: 絕望迷宮
MID_MUSIC_NAME_BGM_MAP_FE13_07: 使命～炎
MID_MUSIC_NAME_BGM_MAP_FE08_01: 真實　絕望　以及希望
MID_MUSIC_NAME_BGM_MAP_FE13_11: 暗雲～炎
MID_UNIT_EDIT_SKYCASTLE_OFFENSE: 飛空城　編組攻擊部隊
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_00: ◆飛空城　編組攻擊部隊◆\n編組飛空城專用的攻擊部隊。
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_01: ◆最多可獲得評價◆\n攻擊部隊於\n飛空城的對戰中獲勝時，\n可獲得評價的最大值。
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_02: ◆增加攻擊部隊欄位◆\n只要飛空城中的位階上升，\n即可追加攻擊部隊的第５人欄位。\n※第一次開放追加欄位時\n　必須消耗飛空石。
MID_UNIT_EDIT_SKYCASTLE_OFFENSE_HELP_DIALOG_03: ◆攻擊部隊欄位的位階條件◆\n・追加第５人：達到位階１１以上
MID_UNIT_EDIT_SKYCASTLE_DEFENSE: 編組防衛部隊
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP: 請編組防衛部隊。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_BTN_00: $a於位階$a0\n開放
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_BTN_01: 追加\n部隊欄位
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_CONFIRM: $a要消耗飛空石×$a0\n追加部隊欄位嗎？
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_WARNING: $a若降至位階$a0以下，\n追加的英雄將不會出擊。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_BTN_DECIDE: 追加
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_COMPLETE: 已追加部隊欄位。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_BUYSLOT_FAILURE: 飛空石不足。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_ESTIMATED_RATE: 防衛失敗評價
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_ESTIMATED_RATE_HELP: 目前的防衛成員\n防衛失敗時最多會下降的評價
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_0: 鎖定部隊
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_1: 解除鎖定
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_0: 要鎖定部隊嗎？\n\n鎖定後，部隊全員的\n等級、技能、聖印及祝福\n將維持在現有的狀態。\n（僅適用於飛空城防衛戰）
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_1: 要解除鎖定部隊嗎？\n\n解除後，\n將會反映部隊內全員的最新狀態。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_DECIDE_0: 鎖定
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_DECIDE_1: 解除
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_LOCK_BTN_CANCEL: 返回
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_NO_UNIT_TEXT: 未設定防衛部隊。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_TROOP_NO_UNIT_WARNING: 防衛部隊為０人時，\n將由等級４０的\n阿爾馮斯、夏蓉、安娜\n代為防衛。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_00: ◆編組防衛部隊◆\n可編組要配置在\n防衛地圖中的部隊。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_01: ◆鎖定防衛部隊◆\n可鎖定部隊內全員的\n等級、能力、技能、聖印及祝福，\n使其不會被變更。\n（僅適用於飛空城防衛戰）\n※解除鎖定後，\n　將會反映部隊內全員的最新狀態。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_02: ◆增加防衛部隊欄位◆\n只要飛空城中的位階上升，\n即可追加防衛部隊的第５、第６人欄位。\n※第一次開放追加欄位時\n　必須消耗飛空石。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_03: ◆防衛部隊欄位的位階條件◆\n・追加第５人：達到位階１１以上\n・追加第６人：達到位階１９以上\n※若未滿足位階條件，\n　追加的英雄將不會出擊。\n　將於再次提升位階後復活。
MID_UNIT_EDIT_SKYCASTLE_DEFENSE_HELP_DIALOG_04: ◆防衛部隊為０人時◆\n將由等級４０的\n阿爾馮斯、夏蓉、安娜\n代為防衛。
MID_UNIT_EDIT_HOLY_GRAIL: 以聖杯召喚英雄
MID_UNIT_EDIT_HOLY_GRAIL_HELP1: 請選擇要召喚的角色。
MID_UNIT_EDIT_HOLY_GRAIL_REMAIN_COUNT: 可召喚數量
MID_UNIT_EDIT_HOLY_GRAIL_CONFIRM: 要消費英雄的聖杯\n以進行召喚嗎？
MID_UNIT_EDIT_HOLY_GRAIL_DECIDE: 召喚
MID_UNIT_EDIT_HOLY_GRAIL_WARNING: 英雄的聖杯不足，\n無法進行召喚。
MID_UNIT_EDIT_UNIT_FULL_INFOR: 角色人數已達到\n容納人數上限。
MID_UNIT_EDIT_SORT_HOLY_GRAIL_RECENT: 最新順序
MID_UNIT_EDIT_SORT_HOLY_GRAIL_ORDER: 追加順序
MID_UNIT_EDIT_HOLY_GRAIL_HELP_DIALOG_00: 以聖杯召喚特別的英雄！
MID_UNIT_EDIT_HOLY_GRAIL_HELP_DIALOG_01: ◆英雄的聖杯◆\n消耗英雄的聖杯，\n可以使部分英雄成為夥伴\n\n英雄的聖杯\n可於飛空城等地獲得。
MID_UNIT_EDIT_HOLY_GRAIL_HELP_DIALOG_02: ◆其他◆\n透過消耗聖杯，最多可使\n２０名相同的英雄成為夥伴。\n\n若要召喚第２隻以上的相同英雄時，\n需要的英雄的聖杯數量會增加。
MID_RELAY_HELP_DIALOG_06_02: ◆接力防衛戰的規則　其他◆\n\n・敵方增援會持續登場。
MID_UNIT_EDIT_SPECIAL_TROOP: 編組特別部隊
MID_UNIT_EDIT_RESERVE_TROOP_HELP_DIALOG_01_02: 備用部隊\n是只有在連續戰鬥中\n才能使用的特殊部隊。
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_DIALOG: 顯示部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_PREFIX: 部隊：
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_NORMAL: 一般部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_RESERVE: 備用部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_OCCUPATION: 大部隊
MID_UNIT_EDIT_SKILL_SET_LOAD_SELECT_TROOP_SKYCASTLE_OFFENSE: 飛空城　攻擊部隊
MID_UNIT_EDIT_HOLY_GRAIL_FIRST_TIME_REWARD_TITLE: 英雄的聖杯　初次入場獎勵
