[Heroes Archive] (Menu_Tutorial)


Heroes Message Name: Message


MID_ARENA_TITLE: 鬥技場
MID_SHOP_STAMINA_RESULT_ORB: 已消費寶珠×1\n回復體力。
MID_SHOP_ARENA_TITLE: 回復對戰權
MID_SHOP_ARENA_CONFIRM_ITEM: 是否消費對戰權之劍×1\n回復對戰權？
MID_SHOP_ARENA_NOTENOUGH_ITEM: 對戰權不足。\n是否消費對戰權之劍×1\n回復對戰權？
MID_SHOP_ARENA_CONFIRM_ORB: 是否消費寶珠×1\n回復對戰權？
MID_SHOP_ARENA_NOTENOUGH_ORB: 對戰權不足。\n是否消費寶珠×1\n回復對戰權？
MID_SHOP_ARENA_NOTNECESSARY: 只有在對戰權為0時\n才可回復對戰權。
MID_SHOP_ARENA_RESULT_POTION: 已消費對戰權之劍×1\n回復對戰權。
MID_SHOP_ARENA_RESULT_ORB: 已消費寶珠×1\n回復對戰權。
MID_SHOP_EXPAND_TITLE: 擴充軍營
MID_SHOP_EXPAND_CONFIRM: 是否消費寶珠×1\n擴充角色容納人數？
MID_SHOP_EXPAND_DECIDE: 擴充
MID_SHOP_EXPAND_CANT_UNIT: 已達擴充上限。
MID_SHOP_EXPAND_RESULT: 已消費寶珠×1\n擴充角色容納人數。
MID_SHOP_UNIT_FULL_INFOR: 角色人數已超過\n容納人數上限。
MID_SHOP_UNIT_FULL_CAN_EXPAND: 請擴充角色容納人數，\n或刪減角色人數。
MID_SHOP_UNIT_FULL_NO_EXPAND: 角色容納人數已達擴充上限。\n請刪減角色人數。
MID_SHOP_UNIT_FULL_EXPAND: 擴充
MID_SHOP_UNIT_FULL_MOVE: 移動至夥伴選單
MID_SHOP_LIMIT_TEENAGER: 未滿２０歲
MID_SHOP_LIMIT_TEENAGER_TEXT: $a每月上限$a0顆（購買量）
MID_SHOP_LIMIT_ADULT: 已滿２０歲
MID_SHOP_LIMIT_ADULT_TEXT: 無限制
MID_SHOP_LIMIT_DESCRIPTION: 每月可購買寶珠數量\n依年齡而定。\n請選擇您的年齡。
MID_SHOP_RECOVER_PURCHASE: 寶珠購買資料不一致問題已排除。
MID_STAGE_SELECT_SCENARIO: 劇情地圖
MID_STAGE_SELECT_EVENT: 特別地圖
MID_STAGE_SELECT_ENCOUNT: 修練之塔
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_00: 在塔中賺取經驗值！還可獲得結晶和勳章！
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_01: ◆修練之塔◆\n可以有效率地賺取\n經驗值的訓練場。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_02: ◆修練之塔的特性◆\n每次挑戰修練之塔時，\n地形跟敵人都會變化。\n闖關之前先檢視屬性圖示，\n使用相克效果佔優勢的夥伴來挑戰吧。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_03: ◆修練之塔的報酬◆\n可得到的報酬有兩種：\n結晶以及勳章。\n可獲得的種類會隨著每天不同而變化。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_04: ◆每日限定１次的過關報酬：結晶◆\n結晶可以在升級時使用。\n\n到第６層以上，還可能獲得大結晶。
MID_STAGE_SELECT_ENCOUNT_HELP_DIALOG_05: ◆每次過關報酬：勳章◆\n勳章可以在覺醒時使用。\n\n到第６層以上，還可能獲得大勳章。
MID_STAGE_SELECT_ARENA: 鬥技場
MID_STAGE_SELECT_VOTE: ？？？
MID_STAGE_SELECT_DIFFICULTY0: 普通
MID_STAGE_SELECT_DIFFICULTY1: 困難
MID_STAGE_SELECT_DIFFICULTY2: 超難
MID_STAGE_SELECT_DETAIL_DECREASE_EXP: 因為是已經過關的地圖，\n所以可獲得的經驗值・ＳＰ會減少。
MID_STAGE_SELECT_DETAIL_RULE: 勝利條件
MID_STAGE_SELECT_DETAIL_FIRST_REWARD: 首次過關報酬
MID_STAGE_SELECT_DETAIL_REWARD: 過關報酬
MID_STAGE_SELECT_DETAIL_DECIDE: 開始戰鬥
MID_STAGE_SELECT_DETAIL_FAILED: 無法開始戰鬥。
MID_STAGE_SELECT_DETAIL_INSUFFICIENT_UNIT: 部隊人數不足。
MID_STAGE_SELECT_RULE_SURVIVAL: $a$a0人生存
MID_STAGE_SELECT_RULE_TURN: $a$a0回合內獲勝
MID_STAGE_SELECT_RULE_NO_CONTINUE: 禁用光的加護
MID_STAGE_OPEN_NEW_CHAPTER_MAINSTORY: 主線劇情裡\n增加了新的章節。
MID_STAGE_OPEN_NEW_CHAPTER_SIDESTORY: 外傳裡\n增加了新的章節。
MID_STAGE_OPEN_NEW_DIFFICULTY: $a$a0裡\n增加了新的難度。
MID_STAGE_OPEN_OTHER_THAN_SCENARIO: 特別地圖、鬥技場等\n已經開放。
MID_STAGE_OPEN_FIRST_ENCOUNT: 修練之塔已經開放。
MID_STAGE_OPEN_NEW_ENCOUNT: 修練之塔裡增加了新的樓層。
MID_STAGE_SELECT_BONUS_NOTIFICATION1: $a現在經驗值$a0倍！
MID_STAGE_SELECT_BONUS_NOTIFICATION2: $a現在SP$a0倍！
MID_STAGE_SELECT_BONUS_NOTIFICATION3: $a現在經驗值&SP$a0倍！
MID_STAGE_SELECT_SCENARIO_MAIN: 主線劇情
MID_STAGE_SELECT_SCENARIO_MAIN_INFO: 那是與所有的異界相連結的——至天的世界。\n亞斯克以及恩布拉——您被召喚到\n兩國對立的戰亂漩渦之中……
MID_STAGE_SELECT_SCENARIO_SUB: 外傳
MID_STAGE_SELECT_SCENARIO_SUB_INFO: 新的【門】已經開啟。\n諸多神秘的英雄即將現身。\n與他們的邂逅，將為您帶來的是……
MID_SUMMON_TITLE: 召喚英雄
MID_SUMMON_HELP_DIALOG_00: 透過召喚，讓英雄加入成為夥伴！
MID_SUMMON_HELP_DIALOG_01: 召喚石的顏色＝英雄的屬性
MID_SUMMON_HELP_DIALOG_02: 如果連續召喚，所需的寶珠數量將會減少
MID_SUMMON_HELP_BONUS: 如果連續召喚，所需的寶珠較少。\n連續召喚５次總共可省下５顆寶珠！
MID_SUMMON_DECIDE: 召喚
MID_SUMMON_PAY: 召喚
MID_SUMMON_CANCEL: 結束召喚
MID_SUMMON_CANCEL_CONFIRM: 要結束召喚嗎？
MID_SUMMON_CANCEL_WARNING: 如果中斷召喚，\n召喚石的數量會恢復成５顆。
MID_SUMMON_PROBABILITY: 英雄出現機率
MID_SUMMON_PROBABILITY_TEXT: 英雄出現機率依稀有度而異，\n目前的機率如下所示。
MID_SUMMON_PROBABILITY_NORMAL_3: ★３
MID_SUMMON_PROBABILITY_NORMAL_4: ★４
MID_SUMMON_PROBABILITY_NORMAL_5: ★５
MID_SUMMON_PROBABILITY_PICKUP_4: ★４精選
MID_SUMMON_PROBABILITY_PICKUP_5: ★５精選
MID_SUMMON_PROBABILITY_PERCENT: %
MID_SUMMON_DETAIL: 詳情
MID_SUMMON_PURCHASE_CONFIRM: 要消費以下道具\n以進行召喚嗎？
MID_SUMMON_PURCHASE_CONFIRM_CONTINUE: $a將會消費寶珠×$a0，\n要繼續進行召喚嗎？
MID_SUMMON_FIRST_OPERATION: 請選擇一顆召喚石。\n石頭的顏色代表英雄的屬性。
MID_SUMMON_FIRST_OPERATION_CONFIRM: 要用這個召喚石進行召喚嗎？
MID_SUMMON_MOVE: 重新開始
MID_SUMMON_MOVE_CONFIRM: 上次的召喚尚未完成就中斷了。\n將重新開始召喚。
MID_SUMMON_RESULT: 這次召喚的結果。
MID_SUMMON_CANCEL_CONTINUE: 繼續召喚
MID_SUMMON_ERROR_LIST_FAILED: 無法取得清單。\n請在網路收訊良好的場所再試一次。
MID_SUMMON_ERROR_NO_LIST: 目前的狀態無法進行召喚。
MID_SUMMON_STONE_NEUTRAL: ◆無色的召喚石◆\n召喚使用弓或杖等無屬性的英雄
MID_SUMMON_STONE_RED: ◆紅色的召喚石◆\n召喚使用劍或赤魔道等赤屬性的英雄
MID_SUMMON_STONE_BLUE: ◆藍色的召喚石◆\n召喚使用槍或青魔道等青屬性的英雄
MID_SUMMON_STONE_GREEN: ◆綠色的召喚石◆\n召喚使用斧或綠魔道等綠屬性的英雄
MID_SUMMON_REVIEW: 非常感謝您\n遊玩本遊戲。\n如果您願意的話，\n懇請協助評價本遊戲。
MID_SUMMON_REVIEW_YES: 評價
MID_SUMMON_REVIEW_LATER_ON: 稍後再說
MID_SUMMON_REVIEW_NO: 不評價
MID_SUMMON_REVIEW_CUSTOMER_SUPPORT: 諮詢
MID_UNIT_EDIT_EMPTY: 空位
MID_UNIT_EDIT_UNSET: 移除
MID_UNIT_EDIT_BOX: 全部成員
MID_UNIT_EDIT_SELECTING: 選擇中
MID_UNIT_EDIT_GAIN: 獲得
MID_UNIT_EDIT_EXPEND: 消費
MID_UNIT_EDIT_SORT: 排序：
MID_UNIT_EDIT_SORT_CONFIRM: 請選擇排序方式。
MID_UNIT_EDIT_SORT_KEY: 獲得順序
MID_UNIT_EDIT_SORT_PERSON: 角色
MID_UNIT_EDIT_SORT_LOCK: 我的最愛
MID_UNIT_EDIT_FILTER: 篩選條件：
MID_UNIT_EDIT_FILTER_CONFIRM: 請選擇篩選條件。
MID_UNIT_EDIT_SKILL_HELP_OFF: 說明OFF
MID_UNIT_EDIT_SKILL_HELP_ON: 說明ON
MID_UNIT_EDIT: 夥伴
MID_UNIT_EDIT_ORGANIZE: 編組
MID_UNIT_EDIT_SKILL_LEARN: 學習技能
MID_UNIT_EDIT_SKILL_LEARN_HELP1: 請選擇要學習技能的角色。
MID_UNIT_EDIT_SKILL_LEARN_HELP2: 請選擇要學習的技能。
MID_UNIT_EDIT_SKILL_LEARN_CONFIRM: 要學習以下的技能嗎？
MID_UNIT_EDIT_SKILL_LEARN_DECIDE: 學習
MID_UNIT_EDIT_SKILL_LEARN_EQUIP_CONFIRM: 要立即裝備技能嗎？
MID_UNIT_EDIT_SKILL_LEARN_EQUIP_DECIDE: 裝備
MID_UNIT_EDIT_SKILL_LEARN_EQUIP_CANCEL: 不裝備
MID_UNIT_EDIT_SKILL_EQUIP: 變更裝備技能
MID_UNIT_EDIT_SKILL_EQUIP_HELP1: 請選擇要變更裝備技能的角色。
MID_UNIT_EDIT_SKILL_EQUIP_HELP2: 請選擇要裝備的技能。
MID_UNIT_EDIT_SKILL_EQUIP_CONFIRM: $a要消費$a0體力\n並變更裝備技能嗎？
MID_UNIT_EDIT_SKILL_EQUIP_DECIDE: 變更裝備
MID_UNIT_EDIT_SKILL_EQUIP_COMPLETE_CONFIRM: 變更裝備已完成。
MID_UNIT_EDIT_SKILL_EQUIP_CANCEL_CONFIRM: 要中止變更裝備技能嗎？
MID_UNIT_EDIT_SKILL_EQUIP_CANCEL_WARNING: 將不會儲存編輯的內容。
MID_UNIT_EDIT_SKILL_EQUIP_CANCEL_DECIDE: 中止
MID_UNIT_EDIT_LEVEL_UP: 升級
MID_UNIT_EDIT_LEVEL_UP_HELP1: 請選擇要提升等級的角色。
MID_UNIT_EDIT_LEVEL_UP_HELP2: 請選擇提升後的等級。
MID_UNIT_EDIT_LEVEL_UP_CONFIRM: 要提升等級嗎？
MID_UNIT_EDIT_PROMOTION: 覺醒
MID_UNIT_EDIT_PROMOTION_HELP1: $a請選擇等級$a0以上的角色。
MID_UNIT_EDIT_PROMOTION_HELP2: $a等級和能力值會回到★$a0的起始值。
MID_UNIT_EDIT_PROMOTION_CONFIRM: 要提升稀有度嗎？
MID_UNIT_EDIT_PROMOTION_DECIDE: 提升
MID_UNIT_EDIT_SELL: 送回
MID_UNIT_EDIT_SELL_HELP1: 請選擇要送回的角色。
MID_UNIT_EDIT_SELL_HELP2: 即將消滅角色，\n並獲得英雄之翼。
MID_UNIT_EDIT_SELL_CONFIRM: 要送回嗎？
MID_UNIT_EDIT_SELL_WARNING: 送回之後，\n被送回的角色將會消失。
MID_UNIT_EDIT_SELL_DECIDE: 送回
MID_UNIT_EDIT_SELL_COMPLETE_CONFIRM: 送回已完成。
MID_UNIT_EDIT_SENIOR: 特別強化
MID_UNIT_EDIT_SKILL_STATUS_EQUIP: 裝備中
MID_UNIT_EDIT_SKILL_STATUS_LEARNED: 已學習
MID_UNIT_EDIT_SKILL_STATUS_INSUFFICIENT_PREREQUISITE: 條件不足
MID_UNIT_EDIT_SKILL_STATUS_NON_INHERITABLE: 無法繼承
MID_UNIT_EDIT_SKILL_STATUS_UNLEARNED: 尚未學習
MID_UNIT_EDIT_SKILL_WARNING_WEAPON: 因為武器類型的限制，所以無法繼承。
MID_UNIT_EDIT_SKILL_WARNING_MOVE: 因為移動方式的限制，所以無法繼承。
MID_UNIT_EDIT_SKILL_WARNING_FIXED: 因為是專用技能，所以無法繼承。
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_LEARN1: $a需要先學習$a0。
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_LEARN2: $a需要先學習\n$a0或$a1。
MID_UNIT_EDIT_LIMITBREAK: 突破極限
MID_UNIT_EDIT_LIMITBREAK_DESTINATION: 培育
MID_UNIT_EDIT_LIMITBREAK_SOURCE: 消滅
MID_UNIT_EDIT_LIMITBREAK_HELP1: 將相同角色相乘，可提升能力值或獲得ＳＰ。
MID_UNIT_EDIT_LIMITBREAK_CONFIRM_LVSP: $a即將提升能力值。\n可獲得$a0Ｐ的ＳＰ。\n確定要繼續嗎？
MID_UNIT_EDIT_LIMITBREAK_CONFIRM_LV: 即將提升能力值。\n確定要繼續嗎？
MID_UNIT_EDIT_LIMITBREAK_CONFIRM_SP: $a可獲得$a0Ｐ的ＳＰ。\n確定要繼續嗎？
MID_UNIT_EDIT_LIMITBREAK_WARNING: 如果★相同、或被消滅方的★比較高，\n可以提升能力值並獲得ＳＰ。\n若非上述情形，則只能獲得ＳＰ。
MID_UNIT_EDIT_LIMITBREAK_WARNING2: $a＋$a0為強化上限。\n繼續強化仍可獲得ＳＰ，\n但無法提昇能力值。
MID_UNIT_EDIT_LIMITBREAK_WARNING3: $a無法獲得\n超過ＳＰ上限的$a0Ｐ。
MID_UNIT_EDIT_LIMITBREAK_WARNING4: 因為已達ＳＰ上限，\n所以無法獲得ＳＰ。
MID_UNIT_EDIT_LIMITBREAK_DIALOG_LVSP: $a即將提升能力值。\n可獲得$a0Ｐ的ＳＰ。\n確定要繼續嗎？
MID_UNIT_EDIT_LIMITBREAK_DIALOG_LV: 即將提升能力值。\n確定要繼續嗎？
MID_UNIT_EDIT_LIMITBREAK_DIALOG_SP: $a可獲得$a0Ｐ的ＳＰ。\n確定要繼續嗎？
MID_UNIT_EDIT_LIMITBREAK_DIALOG_WARNING: 放置於「消滅」的角色\n將會消失。
MID_UNIT_EDIT_LIMITBREAK_DIALOG_DECIDE_LV: 提升
MID_UNIT_EDIT_LIMITBREAK_DIALOG_DECIDE_SP: 獲得
MID_UNIT_EDIT_LIMITBREAK_BEFORE: 培育前
MID_UNIT_EDIT_LIMITBREAK_AFTER: 培育後
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_00: 替換出擊成員
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_01: ◆編組◆\n可編組要在會戰中\n出擊的部隊。\n部隊最左邊的是隊長。
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_02: ◆將夥伴加入部隊中◆\n選擇部隊的欄位後\n點觸夥伴。\n\n◆將夥伴從部隊中移除◆\n選擇想從部隊中移除的夥伴後\n點觸「移除」。
MID_UNIT_EDIT_ORGANIZE_HELP_DIALOG_03: ◆切換部隊◆\n點觸位於部隊欄位\n左右兩側的箭號。\n\n◆夥伴詳情◆\n長按夥伴。
MID_UNIT_EDIT_SKILL_LEARN_HELP_DIALOG_00: 使用SP學習技能！
MID_UNIT_EDIT_SKILL_LEARN_HELP_DIALOG_01: ◆學習技能◆\n讓夥伴學會新的技能。\n\n◆ＳＰ（技能點數）◆\n技能可透過\n消費ＳＰ的方式學習。\n\nＳＰ可透過\n擊敗敵人或升級來取得。
MID_UNIT_EDIT_SKILL_LEARN_HELP_DIALOG_02: ◆覺醒與技能的關係◆\n可透過「覺醒」\n讓夥伴學習\n更強力的技能。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_00: 可變更要裝備的技能。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_01: ◆變更裝備技能◆\n可變更\n夥伴裝備的技能。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_02: ◆關於技能種類◆\n技能分為\n主動技能\n和被動技能。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_03: ◆主動技能◆\n主要與操作連動而發動。\n有武器、奧義、輔助３種。
MID_UNIT_EDIT_SKILL_EQUIP_HELP_DIALOG_04: ◆被動技能◆\n只要裝備\n就會發揮效果。\n\n有A、B、C３種類型，\n各類型分別可裝備１個。
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_00: 使用結晶升級！
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_01: ◆升級◆\n可消費結晶\n來提升夥伴的\n等級。
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_02: ◆結晶的屬性◆\n結晶必須要與\n夥伴的屬性相符。\n只有萬物結晶\n可用在所有的屬性上。
MID_UNIT_EDIT_LEVEL_UP_HELP_DIALOG_03: ◆關於結晶與大結晶◆\n等級１９以下消費「結晶」，\n等級２０以上消費「大結晶」。\n\n大結晶可在\n修練之塔第６層以上獲得。
MID_UNIT_EDIT_SELL_HELP_DIALOG_00: 將英雄轉換成英雄之翼。
MID_UNIT_EDIT_SELL_HELP_DIALOG_01: ◆送回◆\n將夥伴送回異界，\n您將因此獲得英雄之翼。\n送回之後就會失去夥伴，\n所以請特別注意。
MID_UNIT_EDIT_SELL_HELP_DIALOG_02: ◆我的最愛功能介紹◆\n將夥伴登錄為「我的最愛」，\n即可避免因送回等操作\n而會失去夥伴。
MID_UNIT_EDIT_SELL_HELP_DIALOG_03: ◆我的最愛功能用法◆\n請至夥伴詳情畫面，\n點觸畫面左上方的\n愛心符號。\n我的最愛可設定為\n啟用/停用。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_00: 使用覺醒提升一個★等！
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_01: ◆覺醒◆\n可將等級２０以上的夥伴\n提升１個★等。\n\n等級會回到１，\n但因為★增加，\n不但能力值提高，\n還可學習強力的技能。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_02: ◆★１～３夥伴的覺醒◆\n消費英雄之翼、勳章。\n\n英雄之翼\n可在鬥技場等場所獲得。\n\n勳章\n可在修練之塔獲得。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_03: ◆★４夥伴的覺醒◆\n消費英雄之翼、大勳章。\n\n大勳章\n可在修練之塔\n第６層以上獲得。
MID_UNIT_EDIT_PROMOTION_HELP_DIALOG_04: ◆「突破極限」能力值提升的消失◆\n請注意，\n以「突破極限」提升的能力值，\n一旦進行「覺醒」就會消失。
MID_UNIT_EDIT_LIMITBREAK_HELP_DIALOG_00: 將相同夥伴相乘，突破極限！
MID_UNIT_EDIT_LIMITBREAK_HELP_DIALOG_01: ◆突破極限◆\n將２名相同的\n夥伴能力融合，\n超越極限並獲得ＳＰ。\n但設定為消滅方的夥伴\n將會消失。
MID_UNIT_EDIT_LIMITBREAK_HELP_DIALOG_02: ◆提升能力值◆\n如果★相同、或消滅方的★比較高，\n可以提升能力值並獲得ＳＰ。\n若非上述情形，則只能獲得ＳＰ。\n\n請注意，\n提升後的能力值，\n如果之後進行「覺醒」就會消失。
MID_NOT_EQQUIPPED: 無法裝備
MID_EQQUIPPED_ONLY_PERSON: 僅限本人裝備
MID_EQQUIPPED_ONLY_ROD: 僅限武器為杖者裝備
MID_UNIT_EDIT_FAVORITE_SET: 可於此登錄我的最愛。
MID_UNIT_EDIT_FAVORITE_TYPE: $a我的最愛$a0
MID_UNIT_EDIT_FAVORITE_NONE: 不設定
MID_UNIT_EDIT_FAVORITE_FILTER: 可優先顯示登錄為我的最愛的角色。\n可在夥伴詳情畫面內設定我的最愛。
MID_UNIT_EDIT_FAVORITE_FILTER_UNSET: 無優先顯示
MID_UNIT_EDIT_FAVORITE_NAME_EDIT: 編輯我的最愛名稱
MID_UNIT_EDIT_FAVORITE_NAME_EDIT_SELECT: 請選擇要編輯名稱的我的最愛。
MID_UNIT_EDIT_FAVORITE_NAME_PLACE_HOLDER: 輸入我的最愛名稱
MID_UNIT_EDIT_FAVORITE_NAME_ASK: 請輸入我的最愛名稱。
MID_UNIT_EDIT_FAVORITE_NAME_WARNING: 我的最愛名稱為全角色共通使用。
MID_UNIT_EDIT_FAVORITE_NAME_ASK_INFO: 名稱以９個字為限。\n部分符號無法使用。
MID_UNIT_INFO_EXP_MAX: MAX
MID_UNIT_INFO_TO_TALK: TOUCH!
MID_UNIT_INFO_NOW_TALK: TALK!
MID_UNIT_INFO_EXP_REMAIN: 還需要
MID_UNIT_INFO_TO_SKILLLIST: 技能一覽
MID_UNIT_INFO_TO_STATUS: 狀態
MID_UNIT_INFO_LIMITBREAK: 突破極限
