[Heroes Archive] (Data_41_muspell01)


Heroes Message Name: Message


MID_MISSION_M201712A_TITLE: １２月ミッションＡ
MSID_H_グルンウルフ2: 騎馬特効
MSID_H_グルンウルフ2＋: 騎馬特効
MSID_H_アブゾーブ＋: 与えたダメージの５０％回復\n戦闘中に攻撃していれば、戦闘後に\n自分の周囲２マスの味方のＨＰ７回復
MSID_H_フィアー＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の攻撃－７\n（敵の次回行動終了まで）
MSID_H_スロウ＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の速さ－７\n（敵の次回行動終了まで）
MSID_H_グラビティ＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲１マスの敵の\n移動を最大１マスに制限（敵の次回行動終了まで）
MSID_H_ペイン＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵に\n１０ダメージ
MSID_H_パニック＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の強化を\n＋ではなく－とする（敵の次回行動終了まで）
MSID_H_キャンドル＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵に\n反撃不可の状態異常を付与（敵の次回行動終了まで）
MSID_H_リブロー＋: 攻撃の５０％回復（最低８）　射程２
MSID_H_リカバー＋: 攻撃の５０％＋１０回復（最低１５）
MSID_H_セインツ＋: 自分が負っているダメージ＋攻撃の５０％（最低７）、\n対象を回復\n自分も負っているダメージの半分回復
MSID_H_リバース＋: 攻撃の５０％－１０回復（最低７）＋\n対象のＨＰが半分以下なら、ＨＰが少ないほど多く回復
MSID_H_第5迷宮の覇者1: 攻撃＋１
MSID_H_第5迷宮の覇者2: 攻撃＋２
MSID_H_第5迷宮の覇者3: 攻撃＋３
MSID_H_ソールカティ改: 自分のＨＰが７５％以下で、自分から攻撃した時、\n追撃可能なら自分の攻撃の直後に追撃を行う
MSID_H_ジークムント改: ターン開始時、周囲１マスの味方の\n攻撃＋４（１ターン）
MSID_H_風神弓改: 飛行特効　ＨＰが５０％以上の時、\n自身が移動可能な地形を平地のように移動可能
MSID_H_死神の暗器改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵に１０ダメージ\nかつ守備、魔防－７（敵の次回行動終了まで）
MSID_H_銀の暗器＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の守備、魔防－７\n（敵の次回行動終了まで）
MSID_H_紫煙の暗器＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の\n攻撃、速さ、守備、魔防－６（敵の次回行動終了まで）
MSID_H_盗賊の暗器＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の\n守備、魔防－６（敵の次回行動終了まで）、かつ、\n自分と周囲２マスの味方の守備、魔防＋６（１ターン）
MSID_H_灼熱のブレス＋改: 射程２の敵に、敵の守備か魔防の低い方でダメージ計算
MSID_H_光のブレス＋改: 戦闘中に攻撃していれば、戦闘後に\n自分と、その周囲２マスの\n味方の攻撃、速さ、守備、魔防＋５（１ターン）\n射程２の敵に、敵の守備か魔防の低い方でダメージ計算
MSID_H_闇のブレス＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの\n敵の攻撃、速さ－７（敵の次回行動終了まで）\n射程２の敵に、敵の守備か魔防の低い方でダメージ計算
MSID_H_雷のブレス＋改: 奥義が出にくい（発動カウント＋１）\n敵から攻撃された時、距離に関係なく反撃する\n射程２の敵に、敵の守備か魔防の低い方でダメージ計算
MSID_H_ローローの斧＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の強化を\n＋ではなく－とする（敵の次回行動終了まで）
MSID_H_クライネの弓＋改: 飛行特効\n戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの\n敵の攻撃、速さ－５（敵の次回行動終了まで）
MSID_H_ベルクトの槍＋改: 敵から攻撃された時、魔防＋７
MSID_H_ニンジンの槍＋改: 戦闘中に攻撃していれば、戦闘後に\nＨＰ４回復
MSID_H_ニンジンの斧＋改: 戦闘中に攻撃していれば、戦闘後に\nＨＰ４回復
MSID_H_青の卵＋改: 戦闘中に攻撃していれば、戦闘後に\nＨＰ４回復
MSID_H_緑の卵＋改: 戦闘中に攻撃していれば、戦闘後に\nＨＰ４回復
MSID_H_ファーストバイト＋改: 戦闘中に攻撃していれば、戦闘後に\n自分と、その周囲２マスの味方の\n守備、魔防＋５（１ターン）
MSID_H_キューピッドの矢＋改: 飛行特効\n戦闘中に攻撃していれば、戦闘後に\n自分と、その周囲２マスの味方の\n守備、魔防＋５（１ターン）
MSID_H_聖なるブーケ＋改: 戦闘中に攻撃していれば、戦闘後に\n自分と、その周囲２マスの味方の\n守備、魔防＋５（１ターン）
MSID_H_貝殻＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの\n敵の守備、魔防－７（敵の次回行動終了まで）\n戦闘開始時、自身のＨＰ１００％なら攻撃速さ守備魔防＋２\nその状態で攻撃時、戦闘後、自分に２ダメージ
MSID_H_扇子＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの\n敵の守備、魔防－７（敵の次回行動終了まで）\n自分から攻撃した時、戦闘後、\n自分の周囲１マスの味方を７回復
MSID_H_骨の弓＋改: 飛行特効\n戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の強化を\n＋ではなく－とする（敵の次回行動終了まで）
MSID_H_ゴーストの魔道書＋改: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の強化を\n＋ではなく－とする（敵の次回行動終了まで）
MSID_H_差し違えR75: 自分のＨＰが７５％以下で、自分から攻撃した時、\n敵が反撃可能なら絶対追撃
MSID_H_追撃攻R90: 自分のＨＰが９０％以上で、自分から攻撃した時、\n絶対追撃
MSID_H_追従R50: 自身のＨＰが５０％以上の時、\n周囲２マス以内の味方の隣接マスに移動可能
MSID_H_奥義ダメージR10: 奥義発動時、奥義によるダメージ＋１０
MSID_H_反撃抑制R魔: 敵が魔法の時、敵は反撃不可
MSID_H_強化無効R重装: 敵が重装の時、戦闘中、敵の強化の＋を無効にする\n（無効になるのは、鼓舞や応援等の＋効果）
MSID_H_強化無効R騎馬: 敵が騎馬の時、戦闘中、敵の強化の＋を無効にする\n（無効になるのは、鼓舞や応援等の＋効果）
MSID_H_レーヴァテイン: 攻撃＋３\n自分が受けている強化の合計値を攻撃に加算
MSID_H_レイプト: 敵から攻撃された時、距離に関係なく反撃する
MSID_H_シンモラ: 守備＋３\nターン開始時、周囲２マスの敵に２０ダメージ
MSID_H_セック: 杖は他の武器同様のダメージ計算になる　ターン開始時、\n十字方向の自身よりＨＰが３以上低い弓、暗器、魔法、杖の\n敵の移動を最大１マスに制限（敵の次回行動終了まで）
MSID_H_氷の聖鏡: 敵の２距離攻撃のダメージを３０％軽減\n奥義発動で軽減した値を、自身の次の攻撃のダメージに＋\n（その戦闘中のみ。軽減値はスキルによる軽減効果も含む）\n（継承不可）
MSID_H_攻撃守備の絆1: 味方と隣接している時、\n戦闘中、自身の攻撃、守備＋３
MSID_H_攻撃守備の絆2: 味方と隣接している時、\n戦闘中、自身の攻撃、守備＋４
MSID_H_攻撃守備の絆3: 味方と隣接している時、\n戦闘中、自身の攻撃、守備＋５
MSID_H_火薙ぎの剣: 自分、敵ともに反撃不可
MSID_H_火薙ぎの剣＋: 自分、敵ともに反撃不可
MSID_H_黒き血の大剣: 自分から攻撃した時、戦闘中、攻撃、速さ＋４
MSID_H_白き血の薙刀: 敵から攻撃された時、戦闘中、攻撃、守備＋４
MSID_H_攻撃守備の応援: 対象の攻撃、守備＋３（１ターン）
MSID_H_攻撃の指揮1: ターン開始時、周囲２マスの味方の攻撃＋２（１ターン）\nただし、現在の部隊内で、\n同じ移動タイプが２体以下の味方のみが対象
MSID_H_攻撃の指揮2: ターン開始時、周囲２マスの味方の攻撃＋４（１ターン）\nただし、現在の部隊内で、\n同じ移動タイプが２体以下の味方のみが対象
MSID_H_攻撃の指揮3: ターン開始時、周囲２マスの味方の攻撃＋６（１ターン）\nただし、現在の部隊内で、\n同じ移動タイプが２体以下の味方のみが対象
MSID_H_守備の指揮1: ターン開始時、周囲２マスの味方の守備＋２（１ターン）\nただし、現在の部隊内で、\n同じ移動タイプが２体以下の味方のみが対象
MSID_H_守備の指揮2: ターン開始時、周囲２マスの味方の守備＋４（１ターン）\nただし、現在の部隊内で、\n同じ移動タイプが２体以下の味方のみが対象
MSID_H_守備の指揮3: ターン開始時、周囲２マスの味方の守備＋６（１ターン）\nただし、現在の部隊内で、\n同じ移動タイプが２体以下の味方のみが対象
MSID_H_ムスペルの炎: 自身が\n受けるダメージは０になる。
MID_CHAPTER_TITLE_C0016: 幕間の章
MID_CHAPTER_C0016: 刃の儀式
MID_STAGE_TITLE_S1601: 幕間の章－１節
MID_STAGE_S1601: 刃の儀式
MID_CHAPTER_TITLE_C0201: 第２部　１章
MID_CHAPTER_C0201: 炎
MID_STAGE_TITLE_S2011: １章－１節
MID_STAGE_TITLE_S2012: １章－２節
MID_STAGE_TITLE_S2013: １章－３節
MID_STAGE_TITLE_S2014: １章－４節
MID_STAGE_TITLE_S2015: １章－５節
MID_STAGE_S2011: その炎、不死にして不滅
MID_STAGE_S2012: 山は焼け、木は倒れ
MID_STAGE_S2013: 水は乾き、海は呑まれ
MID_STAGE_S2014: 天は焦げ、月は堕ちる
MID_STAGE_S2015: 霧の妖婦
MID_CHAPTER_TITLE_C0202: 第２部　２章
MID_CHAPTER_C0202: 氷の姫
MID_STAGE_TITLE_S2021: ２章－１節
MID_STAGE_TITLE_S2022: ２章－２節
MID_STAGE_TITLE_S2023: ２章－３節
MID_STAGE_TITLE_S2024: ２章－４節
MID_STAGE_TITLE_S2025: ２章－５節
MID_STAGE_S2021: 雪の娘
MID_STAGE_S2022: 白き夜の子ら
MID_STAGE_S2023: 黒き夜の子ら
MID_STAGE_S2024: 黒白の子ら
MID_STAGE_S2025: 炎の王
MID_STAGE_TITLE_SB_0005: 第５迷宮
MID_CHAPTER_ST_C0201: １～２章
MID_STAGE_TITLE_ST_S0201: １章
MID_STAGE_TITLE_ST_S0202: ２章
MID_STAGE_TITLE_ST_S1202: １～２章
MID_STAGE_HONOR_T0021: ターナ　＆
MID_STAGE_T0021: アメリア
MID_STAGE_HONOR_V0141: 剛腕のエルフィ
MID_STAGE_V0141: しんごろいど
MID_STAGE_HONOR_V0142: 漆黒と三色の美女
MID_STAGE_V0142: たろいも
MID_STAGE_HONOR_V0143: 最も美しい四人
MID_STAGE_V0143: 名前ろくもじ
MID_STAGE_HONOR_V0144: ゆるふわ日常系
MID_STAGE_V0144: あらやん
MID_STAGE_HONOR_V0145: 鉄壁の進軍
MID_STAGE_V0145: りょう
